WordIndexSent	SentIndex	FFD	SFD	FD	FPRT	FRT	TFT	RRT	RPD_inc	RPD_exc	RBRT	Fix	FPF	RR	FPReg	TRC_out	TRC_in	LP	SL_in	SL_out	ACC_B_Q1	ACC_B_Q2	ACC_B_Q3	ACC_T_Q1	ACC_T_Q2	ACC_T_Q3	topic	trial	itemid	reader	gender	major	expert_status	age	meanAccBQ	meanAccTQ	group
1	1	462	462	462	462	462	462	0	462	0	462	1	1	0	0	0	0	3	1	2	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
2	1	0	0	422	0	422	1012	1012	0	0	0	1	0	1	0	0	4	1	-4	1	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
3	1	241	241	241	241	241	1059	818	241	0	241	1	1	1	0	1	2	1	2	1	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
4	1	277	0	277	537	537	1958	1421	537	0	537	1	1	1	0	0	0	3	1	1	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
5	1	431	0	431	2938	2938	6552	3614	2938	0	2938	1	1	1	0	0	1	4	1	1	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
6	1	339	339	339	339	339	577	238	2652	2075	577	1	1	1	1	1	0	3	1	-4	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
7	1	0	0	152	0	152	919	919	0	0	0	1	0	1	0	1	1	1	-6	7	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
8	1	204	0	204	1392	1392	2964	1572	1392	0	1392	1	1	1	0	0	0	1	2	1	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
9	1	257	257	257	257	257	257	0	257	0	257	1	1	0	0	0	0	2	1	1	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
10	1	166	0	166	345	345	1324	979	345	0	345	1	1	1	0	0	0	3	1	1	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
11	1	349	349	349	349	349	879	530	349	0	349	1	1	1	0	0	1	4	1	1	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
12	1	154	0	154	311	311	752	441	311	0	311	1	1	1	0	0	0	4	1	1	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
13	1	254	0	254	731	731	1236	505	883	152	731	1	1	1	1	1	0	2	1	-6	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
14	1	189	0	189	651	651	1369	718	6512	5143	1369	1	1	1	1	1	0	7	7	-12	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
15	1	314	0	314	478	478	478	0	478	0	478	1	1	0	0	0	0	4	1	2	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
17	1	384	0	384	751	751	751	0	751	0	751	1	1	0	0	0	0	1	2	1	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
18	1	299	299	299	299	299	299	0	299	0	299	1	1	0	0	0	0	3	1	1	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
19	1	258	258	258	258	258	258	0	258	0	258	1	1	0	0	0	0	4	1	2	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
21	1	622	0	622	1026	1026	1292	266	1026	0	1026	1	1	1	0	0	0	1	2	1	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
1	2	297	297	297	297	297	940	643	2021	1394	627	1	1	1	1	1	0	3	1	-19	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
2	2	87	87	87	87	87	1864	1777	2597	733	1864	1	1	1	1	1	0	4	1	-12	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
3	2	376	376	376	376	376	376	0	376	0	376	1	1	0	0	0	0	3	1	1	1.0	0.0	0.0	1.0	1.0	0.0	-1	6	p4	39	-1	-1	-1	19	0.6666666666666666	0.3333333333333333	3
