WordIndexSent	SentIndex	FFD	SFD	FD	FPRT	FRT	TFT	RRT	RPD_inc	RPD_exc	RBRT	Fix	FPF	RR	FPReg	TRC_out	TRC_in	LP	SL_in	SL_out	ACC_B_Q1	ACC_B_Q2	ACC_B_Q3	ACC_T_Q1	ACC_T_Q2	ACC_T_Q3	topic	trial	itemid	reader	gender	major	expert_status	age	meanAccBQ	meanAccTQ	group
1	1	184	184	184	184	184	184	0	184	0	184	1	1	0	0	0	0	1	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
2	1	59	59	59	59	59	324	265	59	0	59	1	1	1	0	0	1	1	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
3	1	169	169	169	169	169	169	0	169	0	169	1	1	0	0	0	0	4	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
4	1	103	0	103	1380	1380	1797	417	1380	0	1380	1	1	1	0	0	0	1	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
5	1	97	0	97	300	300	1151	851	300	0	300	1	1	1	0	0	1	2	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
6	1	121	121	121	121	121	4242	4121	918	633	285	1	1	1	1	1	1	2	1	-1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
7	1	218	0	218	278	278	459	181	278	0	278	1	1	1	0	0	0	2	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
8	1	187	187	187	187	187	817	630	187	0	187	1	1	1	0	1	0	10	1	2	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
10	1	104	104	104	104	104	302	198	104	0	104	1	1	1	0	0	0	2	2	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
11	1	218	218	218	218	218	327	109	218	0	218	1	1	1	0	0	0	3	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
12	1	288	288	288	288	288	592	304	288	0	288	1	1	1	0	0	0	5	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
13	1	256	256	256	256	256	489	233	256	0	256	1	1	1	0	0	0	6	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
14	1	155	155	155	155	155	343	188	155	0	155	1	1	1	0	0	0	3	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
15	1	125	0	125	272	272	995	723	272	0	272	1	1	1	0	0	2	1	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
16	1	166	166	166	166	166	1037	871	166	0	166	1	1	1	0	1	2	3	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
17	1	213	213	213	213	213	1098	885	213	0	213	1	1	1	0	1	0	6	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
18	1	229	0	229	844	844	2717	1873	2605	953	1652	1	1	1	1	2	0	4	1	-2	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
1	2	0	0	169	0	169	169	169	0	0	0	1	0	1	0	0	0	4	1	2	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
2	2	273	273	273	273	273	273	0	273	0	273	1	1	0	0	0	0	1	2	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
3	2	184	0	184	610	610	1657	1047	610	0	610	1	1	1	0	0	1	5	1	2	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
5	2	176	176	176	176	176	641	465	176	0	176	1	1	1	0	0	0	1	2	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
6	2	146	146	146	146	146	878	732	1147	733	414	1	1	1	1	1	1	2	1	-3	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
7	2	288	288	288	288	288	1296	1008	903	201	702	1	1	1	1	1	1	2	1	-1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
8	2	225	225	225	225	225	569	344	225	0	225	1	1	1	0	1	0	4	1	3	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
9	2	0	0	155	0	155	155	155	0	0	0	1	0	1	0	0	1	1	-2	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
10	2	0	0	279	0	279	536	536	0	0	0	1	0	1	0	0	1	2	1	2	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
11	2	68	68	68	68	68	168	100	502	434	68	1	1	1	1	2	0	1	3	-2	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
12	2	198	0	198	334	334	565	231	334	0	334	1	1	1	0	0	0	1	2	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
13	2	285	285	285	285	285	600	315	285	0	285	1	1	1	0	0	0	1	1	2	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
15	2	174	174	174	174	174	570	396	174	0	174	1	1	1	0	0	1	1	2	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
16	2	182	182	182	182	182	560	378	182	0	182	1	1	1	0	1	1	1	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
17	2	218	218	218	218	218	879	661	218	0	218	1	1	1	0	0	0	1	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
18	2	219	219	219	219	219	219	0	219	0	219	1	1	0	0	0	0	6	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
19	2	340	340	340	340	340	1122	782	340	0	340	1	1	1	0	0	0	4	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
1	3	188	0	188	333	333	333	0	333	0	333	1	1	0	0	0	0	1	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
2	3	193	193	193	193	193	1082	889	193	0	193	1	1	1	0	0	0	4	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
3	3	180	180	180	180	180	365	185	180	0	180	1	1	1	0	0	0	3	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
4	3	239	0	239	368	368	2353	1985	2592	1419	1173	1	1	1	1	1	0	6	1	-7	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
5	3	172	172	172	172	172	387	215	172	0	172	1	1	1	0	0	0	1	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
6	3	111	0	111	570	570	873	303	570	0	570	1	1	1	0	0	0	7	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
7	3	165	165	165	165	165	344	179	165	0	165	1	1	1	0	0	0	3	1	2	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
8	3	0	0	179	0	179	337	337	0	0	0	1	0	1	0	0	1	1	-3	4	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
9	3	228	228	228	228	228	228	0	228	0	228	1	1	0	0	0	0	1	2	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
10	3	491	491	491	491	491	782	291	491	0	491	1	1	1	0	0	1	2	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
11	3	251	0	251	374	374	593	219	553	179	374	1	1	1	1	1	0	3	1	-3	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
12	3	191	191	191	191	191	191	0	191	0	191	1	1	0	0	0	0	3	4	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
1	4	149	149	149	149	149	531	382	149	0	149	1	1	1	0	0	1	2	1	2	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
3	4	168	0	168	1253	1253	2569	1316	1253	0	1253	1	1	1	0	1	1	1	2	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
4	4	180	180	180	180	180	626	446	180	0	180	1	1	1	0	0	0	6	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
5	4	224	224	224	224	224	896	672	224	0	224	1	1	1	0	0	1	4	1	2	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
7	4	239	0	239	405	405	3179	2774	1078	243	835	1	1	1	1	2	0	3	2	-2	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
8	4	0	0	167	0	167	167	167	0	0	0	1	0	1	0	0	1	2	-7	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
9	4	0	0	56	0	56	693	693	0	0	0	1	0	1	0	0	2	2	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
10	4	0	0	151	0	1308	2541	2541	0	0	0	1	0	1	0	2	1	5	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
11	4	0	0	415	0	415	1110	1110	0	0	0	1	0	1	0	0	1	3	1	2	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
12	4	0	0	201	0	201	201	201	0	0	0	1	0	1	0	1	1	3	-3	-1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
13	4	0	0	214	0	214	823	823	0	0	0	1	0	1	0	0	0	1	2	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
14	4	0	0	169	0	169	169	169	0	0	0	1	0	1	0	0	0	3	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
15	4	122	122	122	122	122	2966	2844	2939	2329	610	1	1	1	1	2	1	5	8	-7	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
16	4	209	209	209	209	209	209	0	209	0	209	1	1	0	0	0	0	3	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
17	4	243	243	243	243	243	1244	1001	243	0	243	1	1	1	0	1	1	4	1	2	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
18	4	0	0	147	0	147	328	328	0	0	0	1	0	1	0	0	0	1	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
19	4	197	0	197	384	384	2742	2358	3383	1974	1409	1	1	1	1	1	0	1	2	-2	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
20	4	250	250	250	250	250	801	551	250	0	250	1	1	1	0	0	0	4	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
21	4	107	107	107	107	107	259	152	168	61	107	1	1	1	1	1	0	1	1	-11	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
22	4	144	0	144	312	312	728	416	312	0	312	1	1	1	0	1	2	5	12	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
23	4	245	245	245	245	245	632	387	245	0	245	1	1	1	0	2	0	3	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
24	4	281	281	281	281	281	649	368	281	0	281	1	1	1	0	0	1	1	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
25	4	240	240	240	240	240	695	455	607	165	442	1	1	1	1	1	0	3	1	-1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
26	4	265	265	265	265	265	805	540	265	0	265	1	1	1	0	0	0	6	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
27	4	203	203	203	203	203	203	0	203	0	203	1	1	0	0	0	0	3	1	2	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
1	5	0	0	391	0	699	699	699	0	0	0	1	0	1	0	0	0	1	2	2	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
2	5	167	167	167	167	167	167	0	167	0	167	1	1	0	0	0	0	2	2	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
3	5	218	218	218	218	218	717	499	218	0	218	1	1	1	0	0	0	5	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
4	5	143	143	143	143	143	143	0	143	0	143	1	1	0	0	0	0	6	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
5	5	150	150	150	150	150	606	456	150	0	150	1	1	1	0	0	0	6	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
6	5	214	214	214	214	214	447	233	214	0	214	1	1	1	0	0	0	5	1	2	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
8	5	197	197	197	197	197	372	175	197	0	197	1	1	1	0	0	0	2	2	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
9	5	225	225	225	225	225	330	105	225	0	225	1	1	1	0	0	0	2	1	2	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
11	5	112	0	112	416	416	701	285	416	0	416	1	1	1	0	0	0	9	2	2	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
12	5	0	0	120	0	120	120	120	0	0	0	1	0	1	0	0	0	1	1	1	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
13	5	119	0	119	277	277	483	206	277	0	277	1	1	1	0	0	0	1	2	2	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
14	5	0	0	200	0	349	513	513	0	0	0	1	0	1	0	0	1	1	-5	3	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
15	5	206	0	206	398	398	649	251	398	0	398	1	1	1	0	0	0	1	2	2	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
16	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	1.0	1.0	0.0	0.0	1	5	b1	94	1	1	-1	18	0.3333333333333333	0.6666666666666666	1
