,sentence_id,word_id,word,TRT,relFix
0,0,0,with,119.0,0.06502732240437159
1,0,1,his,244.0,0.13333333333333333
2,0,2,interest,0.0,0.0
3,0,3,in,128.0,0.06994535519125683
4,0,4,race,0.0,0.0
5,0,5,cars,170.0,0.09289617486338798
6,0,6,",",0.0,0.0
7,0,6,he,92.0,0.05027322404371585
8,0,7,formed,0.0,0.0
9,0,8,a,0.0,0.0
10,0,9,second,141.0,0.07704918032786885
11,0,10,company,65.0,0.03551912568306011
12,0,11,",",0.0,0.0
13,0,11,the,0.0,0.0
14,0,12,henry,592.0,0.32349726775956283
15,0,13,ford,178.0,0.09726775956284153
16,0,14,company,101.0,0.055191256830601096
17,0,15,.,0.0,0.0
18,1,0,during,277.0,0.058823529411764705
19,1,1,this,111.0,0.02357188362709705
20,1,2,period,288.0,0.06115948184327883
21,1,3,",",0.0,0.0
22,1,3,he,306.0,0.06498194945848375
23,1,4,personally,97.0,0.020598853259715437
24,1,5,drove,117.0,0.024846039498832025
25,1,6,his,87.0,0.018475260140157147
26,1,7,quadricycle,528.0,0.11212571671267785
27,1,8,to,0.0,0.0
28,1,9,victory,273.0,0.057974092163941386
29,1,10,in,0.0,0.0
30,1,11,a,139.0,0.02951794436186027
31,1,12,race,283.0,0.06009768528349968
32,1,13,against,139.0,0.02951794436186027
33,1,14,alexander,306.0,0.06498194945848375
34,1,15,winton,280.0,0.05946060734763219
35,1,16,",",0.0,0.0
36,1,16,a,0.0,0.0
37,1,17,well-known,133.0,0.028243788490125293
38,1,18,driver,188.0,0.0399235506476959
39,1,19,and,0.0,0.0
40,1,20,the,94.0,0.01996177532384795
41,1,21,heavy,105.0,0.02229772775536207
42,1,22,favorite,477.0,0.10129539180293055
43,1,23,on,0.0,0.0
44,1,24,october,99.0,0.021023571883627096
45,1,25,10,258.0,0.05478870248460395
46,1,26,",",0.0,0.0
47,1,26,1901,124.0,0.026332554682522828
48,1,27,.,0.0,0.0
49,2,0,ford,379.0,0.10742630385487528
50,2,1,was,161.0,0.04563492063492063
51,2,2,forced,226.0,0.06405895691609978
52,2,3,out,155.0,0.043934240362811794
53,2,4,of,61.0,0.017290249433106575
54,2,5,the,0.0,0.0
55,2,6,company,109.0,0.030895691609977325
56,2,7,by,161.0,0.04563492063492063
57,2,8,the,0.0,0.0
58,2,9,investors,189.0,0.05357142857142857
59,2,10,",",0.0,0.0
60,2,10,including,181.0,0.051303854875283446
61,2,11,henry,629.0,0.17828798185941044
62,2,12,m,0.0,0.0
63,2,13,.,0.0,0.0
64,2,13,leland,130.0,0.036848072562358274
65,2,14,in,0.0,0.0
66,2,15,1902,125.0,0.035430839002267574
67,2,16,",",0.0,0.0
68,2,16,and,117.0,0.03316326530612245
69,2,17,the,0.0,0.0
70,2,18,company,157.0,0.04450113378684807
71,2,19,was,0.0,0.0
72,2,20,reorganized,327.0,0.09268707482993198
73,2,21,as,181.0,0.051303854875283446
74,2,22,cadillac,240.0,0.06802721088435375
75,2,23,.,0.0,0.0
76,3,0,in,0.0,0.0
77,3,1,1891,711.0,0.08702570379436965
78,3,2,",",0.0,0.0
79,3,2,ford,1067.0,0.13059975520195838
80,3,3,became,343.0,0.041982864137086906
81,3,4,an,111.0,0.013586291309669523
82,3,5,engineer,383.0,0.04687882496940025
83,3,6,with,230.0,0.028151774785801713
84,3,7,the,193.0,0.023623011015911872
85,3,8,edison,393.0,0.04810281517747858
86,3,9,illuminating,124.0,0.015177478580171358
87,3,10,company,0.0,0.0
88,3,11,",",0.0,0.0
89,3,11,and,0.0,0.0
90,3,12,after,0.0,0.0
91,3,13,his,0.0,0.0
92,3,14,promotion,0.0,0.0
93,3,15,to,0.0,0.0
94,3,16,chief,0.0,0.0
95,3,17,engineer,0.0,0.0
96,3,18,in,0.0,0.0
97,3,19,1893,347.0,0.04247246022031824
98,3,20,",",0.0,0.0
99,3,20,he,0.0,0.0
100,3,21,had,140.0,0.017135862913096694
101,3,22,enough,280.0,0.03427172582619339
102,3,23,time,166.0,0.020318237454100368
103,3,24,and,243.0,0.02974296205630355
104,3,25,money,186.0,0.02276621787025704
105,3,26,to,210.0,0.025703794369645042
106,3,27,devote,0.0,0.0
107,3,28,attention,525.0,0.06425948592411261
108,3,29,to,126.0,0.015422276621787025
109,3,30,his,0.0,0.0
110,3,31,personal,704.0,0.0861689106487148
111,3,32,experiments,560.0,0.06854345165238677
112,3,33,on,126.0,0.015422276621787025
113,3,34,internal,210.0,0.025703794369645042
114,3,35,combustion,578.0,0.07074663402692778
115,3,36,engines,214.0,0.026193390452876376
116,3,37,.,0.0,0.0
117,4,0,these,0.0,0.0
118,4,1,experiments,0.0,0.0
119,4,2,culminated,0.0,0.0
120,4,3,in,194.0,0.05608557386527898
121,4,4,1896,131.0,0.037872217403873955
122,4,5,with,0.0,0.0
123,4,6,the,0.0,0.0
124,4,7,completion,97.0,0.02804278693263949
125,4,8,of,0.0,0.0
126,4,9,his,0.0,0.0
127,4,10,own,188.0,0.05435096848800231
128,4,11,self-propelled,94.0,0.027175484244001156
129,4,12,vehicle,130.0,0.03758311650766118
130,4,13,named,735.0,0.212489158716392
131,4,14,the,0.0,0.0
132,4,15,quadricycle,87.0,0.02515177797051171
133,4,16,",",0.0,0.0
134,4,16,which,0.0,0.0
135,4,17,he,0.0,0.0
136,4,18,test-drove,534.0,0.15437987857762359
137,4,19,on,217.0,0.06273489447817288
138,4,20,june,348.0,0.10060711188204684
139,4,21,4,0.0,0.0
140,4,22,of,577.0,0.16681121711477306
141,4,23,that,0.0,0.0
142,4,24,year,127.0,0.036715813819022836
143,4,25,.,0.0,0.0
144,5,0,ford,119.0,0.022037037037037036
145,5,1,was,0.0,0.0
146,5,2,born,0.0,0.0
147,5,3,on,0.0,0.0
148,5,4,a,0.0,0.0
149,5,5,prosperous,0.0,0.0
150,5,6,farm,0.0,0.0
151,5,7,in,0.0,0.0
152,5,8,springwells,0.0,0.0
153,5,9,township,167.0,0.030925925925925926
154,5,10,(now,182.0,0.0337037037037037
155,5,11,in,0.0,0.0
156,5,12,the,0.0,0.0
157,5,13,city,178.0,0.032962962962962965
158,5,14,of,0.0,0.0
159,5,15,dearborn,477.0,0.08833333333333333
160,5,16,",",0.0,0.0
161,5,16,michigan,406.0,0.07518518518518519
162,5,17,),0.0,0.0
163,5,17,owned,567.0,0.105
164,5,18,by,163.0,0.030185185185185186
165,5,19,his,0.0,0.0
166,5,20,parents,670.0,0.12407407407407407
167,5,21,",",0.0,0.0
168,5,21,william,244.0,0.04518518518518518
169,5,22,ford,234.0,0.043333333333333335
170,5,23,(1826-1905,336.0,0.06222222222222222
171,5,24,),0.0,0.0
172,5,24,and,197.0,0.03648148148148148
173,5,25,mary,270.0,0.05
174,5,26,litogot,70.0,0.012962962962962963
175,5,27,(c1839-1876),132.0,0.024444444444444446
176,5,28,",",0.0,0.0
177,5,28,immigrants,301.0,0.055740740740740743
178,5,29,from,107.0,0.019814814814814816
179,5,30,county,274.0,0.05074074074074074
180,5,31,cork,0.0,0.0
181,5,32,",",0.0,0.0
182,5,32,ireland,306.0,0.056666666666666664
183,5,33,.,0.0,0.0
184,6,0,in,0.0,0.0
185,6,1,the,0.0,0.0
186,6,2,years,0.0,0.0
187,6,3,between,0.0,0.0
188,6,4,the,0.0,0.0
189,6,5,wars,163.0,0.25115562403698
190,6,6,",",0.0,0.0
191,6,6,henry,161.0,0.24807395993836673
192,6,7,ford,105.0,0.1617873651771957
193,6,8,supported,132.0,0.2033898305084746
194,6,9,adolf,88.0,0.13559322033898305
195,7,0,there,0.0,0.0
196,7,1,is,0.0,0.0
197,7,2,also,0.0,0.0
198,7,3,some,0.0,0.0
199,7,4,evidence,0.0,0.0
200,7,5,that,0.0,0.0
201,7,6,henry,0.0,0.0
202,7,7,ford,0.0,0.0
203,7,8,gave,0.0,0.0
204,7,9,adolf,0.0,0.0
205,7,10,hitler,51.0,0.03878326996197719
206,7,11,direct,93.0,0.07072243346007605
207,7,12,financial,105.0,0.07984790874524715
208,7,13,backing,142.0,0.10798479087452471
209,7,14,when,104.0,0.07908745247148288
210,7,15,hitler,103.0,0.07832699619771863
211,7,16,was,0.0,0.0
212,7,17,first,179.0,0.1361216730038023
213,7,18,starting,0.0,0.0
214,7,19,out,105.0,0.07984790874524715
215,7,20,in,241.0,0.1832699619771863
216,7,21,politics,192.0,0.14600760456273765
217,7,22,.,0.0,0.0
218,8,0,this,0.0,0.0
219,8,1,can,0.0,0.0
220,8,2,in,0.0,0.0
221,8,3,part,0.0,0.0
222,8,4,be,0.0,0.0
223,8,5,traced,0.0,0.0
224,8,6,to,0.0,0.0
225,8,7,statements,0.0,0.0
226,8,8,from,0.0,0.0
227,8,9,kurt,208.0,1.0
228,8,10,ludecke,0.0,0.0
229,8,11,",",0.0,0.0
230,9,0,although,0.0,0.0
231,9,1,ford,242.0,0.09358081979891725
232,9,2,is,0.0,0.0
233,9,3,often,129.0,0.04988399071925754
234,9,4,credited,0.0,0.0
235,9,5,with,109.0,0.04215003866976025
236,9,6,the,0.0,0.0
237,9,7,idea,79.0,0.03054911059551431
238,9,8,",",0.0,0.0
239,9,8,contemporary,110.0,0.042536736272235115
240,9,9,sources,214.0,0.08275328692962104
241,9,10,indicate,220.0,0.08507347254447023
242,9,11,that,0.0,0.0
243,9,12,the,114.0,0.04408352668213457
244,9,13,concept,0.0,0.0
245,9,14,and,0.0,0.0
246,9,15,its,0.0,0.0
247,9,16,development,0.0,0.0
248,9,17,came,0.0,0.0
249,9,18,from,149.0,0.057617942768754836
250,9,19,employees,246.0,0.0951276102088167
251,9,20,clarence,138.0,0.05336426914153132
252,9,21,avery,119.0,0.0460170146945089
253,9,22,",",0.0,0.0
254,9,22,peter,132.0,0.05104408352668213
255,9,23,e,0.0,0.0
256,9,24,.,0.0,0.0
257,9,24,martin,101.0,0.03905645784996133
258,9,25,",",0.0,0.0
259,9,25,charles,65.0,0.025135344160866203
260,9,26,e,0.0,0.0
261,9,27,.,0.0,0.0
262,9,27,sorensen,202.0,0.07811291569992267
263,9,28,",",0.0,0.0
264,9,28,and,217.0,0.08391337973704563
265,9,29,c.h,0.0,0.0
266,9,30,.,0.0,0.0
267,10,0,henry,67.0,0.04072948328267477
268,10,1,ford,329.0,0.2
269,10,2,advocated,147.0,0.08936170212765958
270,10,3,long-time,187.0,0.11367781155015197
271,10,4,associate,233.0,0.14164133738601822
272,10,5,harry,224.0,0.13617021276595745
273,10,6,bennett,145.0,0.08814589665653495
274,10,7,to,0.0,0.0
275,10,8,take,188.0,0.11428571428571428
276,10,9,the,0.0,0.0
277,10,10,spot,125.0,0.07598784194528875
278,10,11,.,0.0,0.0
279,12,0,in,0.0,0.0
280,12,1,1879,549.0,0.13944627889255778
281,12,2,",",0.0,0.0
282,12,2,he,69.0,0.017526035052070104
283,12,3,left,60.0,0.01524003048006096
284,12,4,home,106.0,0.026924053848107695
285,12,5,for,0.0,0.0
286,12,6,the,93.0,0.023622047244094488
287,12,7,nearby,129.0,0.032766065532131065
288,12,8,city,104.0,0.026416052832105665
289,12,9,of,0.0,0.0
290,12,10,detroit,220.0,0.05588011176022352
291,12,11,to,0.0,0.0
292,12,12,work,133.0,0.033782067564135126
293,12,13,as,0.0,0.0
294,12,14,an,57.0,0.014478028956057912
295,12,15,apprentice,80.0,0.02032004064008128
296,12,16,machinist,281.0,0.07137414274828549
297,12,17,",",0.0,0.0
298,12,17,first,175.0,0.0444500889001778
299,12,18,with,72.0,0.01828803657607315
300,12,19,james,323.0,0.08204216408432817
301,12,20,f,207.0,0.052578105156210315
302,12,21,.,0.0,0.0
