,sentence_id,word_id,word,TRT,relFix
0,0,0,presents,669.0,0.24586549062844543
1,0,1,a,295.0,0.10841602352076442
2,0,2,good,0.0,0.0
3,0,3,case,106.0,0.03895626607864756
4,0,4,while,333.0,0.12238147739801543
5,0,5,failing,0.0,0.0
6,0,6,to,79.0,0.029033443586916573
7,0,7,provide,95.0,0.03491363469312753
8,0,8,a,82.0,0.03013597941933113
9,0,9,reason,155.0,0.0569643513414186
10,0,10,for,0.0,0.0
11,0,11,us,0.0,0.0
12,0,12,to,154.0,0.05659683939728041
13,0,13,care,66.0,0.024255788313120176
14,0,14,beyond,77.0,0.028298419698640206
15,0,15,the,0.0,0.0
16,0,16,very,76.0,0.02793090775450202
17,0,17,basic,90.0,0.03307607497243661
18,0,18,dictums,131.0,0.04814406468210217
19,0,19,of,104.0,0.03822124219037119
20,0,20,human,58.0,0.0213156927600147
21,0,21,decency,151.0,0.05549430356486586
22,0,22,.,0.0,0.0
23,1,0,beautifully,146.0,0.04915824915824916
24,1,1,crafted,126.0,0.04242424242424243
25,1,2,",",0.0,0.0
26,1,2,engaging,365.0,0.12289562289562289
27,1,3,filmmaking,99.0,0.03333333333333333
28,1,4,that,121.0,0.040740740740740744
29,1,5,should,105.0,0.03535353535353535
30,1,6,attract,154.0,0.05185185185185185
31,1,7,upscale,337.0,0.11346801346801347
32,1,8,audiences,202.0,0.06801346801346801
33,1,9,hungry,241.0,0.08114478114478114
34,1,10,for,0.0,0.0
35,1,11,quality,91.0,0.03063973063973064
36,1,12,and,0.0,0.0
37,1,13,a,89.0,0.029966329966329967
38,1,14,nostalgic,78.0,0.026262626262626262
39,1,15,",",0.0,0.0
40,1,15,twisty,111.0,0.03737373737373737
41,1,16,yarn,164.0,0.055218855218855216
42,1,17,that,0.0,0.0
43,1,18,will,92.0,0.030976430976430977
44,1,19,keep,93.0,0.031313131313131314
45,1,20,them,111.0,0.03737373737373737
46,1,21,guessing,245.0,0.08249158249158249
47,1,22,.,0.0,0.0
48,2,0,bread,237.0,0.1543973941368078
49,2,1,",",0.0,0.0
50,2,1,my,189.0,0.12312703583061889
51,2,2,sweet,53.0,0.03452768729641694
52,2,3,has,122.0,0.07947882736156352
53,2,4,so,83.0,0.054071661237785014
54,2,5,many,79.0,0.051465798045602605
55,2,6,flaws,50.0,0.03257328990228013
56,2,7,it,0.0,0.0
57,2,8,would,99.0,0.06449511400651466
58,2,9,be,0.0,0.0
59,2,10,easy,170.0,0.11074918566775244
60,2,11,for,0.0,0.0
61,2,12,critics,133.0,0.08664495114006515
62,2,13,to,96.0,0.06254071661237785
63,2,14,shred,224.0,0.14592833876221498
64,2,15,it,0.0,0.0
65,2,16,.,0.0,0.0
66,3,0,slow,329.0,0.27976190476190477
67,3,1,",",0.0,0.0
68,3,1,silly,150.0,0.12755102040816327
69,3,2,and,103.0,0.08758503401360544
70,3,3,unintentionally,288.0,0.24489795918367346
71,3,4,hilarious,306.0,0.2602040816326531
72,3,5,.,0.0,0.0
73,4,0,ultimately,377.0,0.1734130634774609
74,4,1,feels,301.0,0.13845446182152715
75,4,2,emp11111ty,392.0,0.18031278748850046
