,sentence_id,word_id,word,TRT,relFix
0,0,0,henry,157.0,0.032411230388109
1,0,1,ford,96.0,0.01981833195706028
2,0,2,",",0.0,0.0
3,0,2,with,523.0,0.10796862097440132
4,0,3,his,69.0,0.014244426094137078
5,0,4,son,84.0,0.017341040462427744
6,0,5,edsel,371.0,0.07658959537572255
7,0,6,",",0.0,0.0
8,0,6,founded,233.0,0.04810074318744839
9,0,7,the,246.0,0.05078447563996697
10,0,8,ford,0.0,0.0
11,0,9,foundation,241.0,0.049752270850536746
12,0,10,in,170.0,0.03509496284062758
13,0,11,1936,270.0,0.05573905862923204
14,0,12,as,88.0,0.018166804293971925
15,0,13,a,96.0,0.01981833195706028
16,0,14,local,210.0,0.04335260115606936
17,0,15,philanthropic,153.0,0.03158546655656482
18,0,16,organization,177.0,0.03654004954582989
19,0,17,with,319.0,0.06585466556564823
20,0,18,a,0.0,0.0
21,0,19,broad,382.0,0.07886044591246903
22,0,20,charter,476.0,0.09826589595375723
23,0,21,to,68.0,0.014037985136251032
24,0,22,promote,86.0,0.017753922378199834
25,0,23,human,224.0,0.046242774566473986
26,0,24,welfare,105.0,0.02167630057803468
27,0,25,.,0.0,0.0
28,1,0,after,106.0,0.017947849644429394
29,1,1,this,123.0,0.020826278360988826
30,1,2,initial,0.0,0.0
31,1,3,success,158.0,0.02675245513037589
32,1,4,",",0.0,0.0
33,1,4,ford,783.0,0.13257704029800202
34,1,5,left,347.0,0.058753809685066036
35,1,6,edison,1040.0,0.1760921097189299
36,1,7,illuminating,463.0,0.07839485269217744
37,1,8,and,542.0,0.0917710802573654
38,1,9,",",0.0,0.0
39,1,9,with,200.0,0.033863867253640365
40,1,10,other,197.0,0.03335590924483576
41,1,11,investors,105.0,0.01777853030816119
42,1,12,",",0.0,0.0
43,1,12,formed,275.0,0.0465628174737555
44,1,13,the,352.0,0.059600406366407045
45,1,14,detroit,409.0,0.06925160853369455
46,1,15,automobile,607.0,0.10277683711479851
47,1,16,company,199.0,0.03369454791737216
48,1,17,.,0.0,0.0
49,2,0,with,0.0,0.0
50,2,1,his,429.0,0.18563392470791865
51,2,2,interest,328.0,0.14192990047598442
52,2,3,in,250.0,0.1081782778018174
53,2,4,race,197.0,0.08524448290783211
54,2,5,cars,0.0,0.0
55,2,6,",",0.0,0.0
56,2,6,he,211.0,0.09130246646473388
57,2,7,formed,124.0,0.05365642578970143
58,2,8,a,104.0,0.04500216356555604
59,2,9,second,0.0,0.0
60,2,10,company,103.0,0.044569450454348764
61,2,11,",",0.0,0.0
62,2,11,the,0.0,0.0
63,2,12,henry,351.0,0.1518823020337516
64,2,13,ford,214.0,0.09260060579835569
65,2,14,company,0.0,0.0
66,2,15,.,0.0,0.0
67,3,0,during,532.0,0.09646418857660925
68,3,1,this,283.0,0.051314596554850406
69,3,2,period,177.0,0.032094288304623755
70,3,3,",",0.0,0.0
71,3,3,he,201.0,0.03644605621033545
72,3,4,personally,228.0,0.04134179510426111
73,3,5,drove,238.0,0.04315503173164098
74,3,6,his,104.0,0.01885766092475068
75,3,7,quadricycle,652.0,0.11822302810516773
76,3,8,to,0.0,0.0
77,3,9,victory,182.0,0.03300090661831369
78,3,10,in,0.0,0.0
79,3,11,a,153.0,0.02774252039891206
80,3,12,race,0.0,0.0
81,3,13,against,71.0,0.012873980054397098
82,3,14,alexander,183.0,0.033182230281051675
83,3,15,winton,395.0,0.07162284678150499
84,3,16,",",0.0,0.0
85,3,16,a,60.0,0.010879419764279238
86,3,17,well-known,174.0,0.03155031731640979
87,3,18,driver,111.0,0.02012692656391659
88,3,19,and,127.0,0.023028105167724387
89,3,20,the,97.0,0.017588395285584767
90,3,21,heavy,248.0,0.04496826835902085
91,3,22,favorite,305.0,0.05530371713508613
92,3,23,on,0.0,0.0
93,3,24,october,498.0,0.09029918404351768
94,3,25,10,274.0,0.04968268359020852
95,3,26,",",0.0,0.0
96,3,26,1901,222.0,0.04025385312783318
97,3,27,.,0.0,0.0
98,4,0,ford,0.0,0.0
99,4,1,was,327.0,0.10018382352941177
100,4,2,forced,62.0,0.018995098039215685
101,4,3,out,182.0,0.05575980392156863
102,4,4,of,0.0,0.0
103,4,5,the,0.0,0.0
104,4,6,company,226.0,0.06924019607843138
105,4,7,by,246.0,0.07536764705882353
106,4,8,the,0.0,0.0
107,4,9,investors,237.0,0.07261029411764706
108,4,10,",",0.0,0.0
109,4,10,including,326.0,0.09987745098039216
110,4,11,henry,236.0,0.07230392156862746
111,4,12,m,0.0,0.0
112,4,13,.,0.0,0.0
113,4,13,leland,274.0,0.08394607843137254
114,4,14,in,61.0,0.018688725490196078
115,4,15,1902,56.0,0.01715686274509804
116,4,16,",",0.0,0.0
117,4,16,and,0.0,0.0
118,4,17,the,135.0,0.04136029411764706
119,4,18,company,106.0,0.032475490196078434
120,4,19,was,0.0,0.0
121,4,20,reorganized,582.0,0.17830882352941177
122,4,21,as,104.0,0.031862745098039214
123,4,22,cadillac,104.0,0.031862745098039214
124,4,23,.,0.0,0.0
125,5,0,in,0.0,0.0
126,5,1,1891,1032.0,0.17220090105122643
127,5,2,",",0.0,0.0
128,5,2,ford,194.0,0.032371099616218924
129,5,3,became,0.0,0.0
130,5,4,an,0.0,0.0
131,5,5,engineer,132.0,0.0220256966460871
132,5,6,with,185.0,0.03086934757216753
133,5,7,the,93.0,0.015518104455197732
134,5,8,edison,103.0,0.017186717837477057
135,5,9,illuminating,403.0,0.06724511930585683
136,5,10,company,123.0,0.02052394460203571
137,5,11,",",0.0,0.0
138,5,11,and,327.0,0.05456365760053396
139,5,12,after,102.0,0.017019856499249125
140,5,13,his,100.0,0.01668613382279326
141,5,14,promotion,139.0,0.02319372601368263
142,5,15,to,77.0,0.012848323043550809
143,5,16,chief,0.0,0.0
144,5,17,engineer,151.0,0.02519606207241782
145,5,18,in,0.0,0.0
146,5,19,1893,529.0,0.08826964792257634
147,5,20,",",0.0,0.0
148,5,20,he,112.0,0.01868846988152845
149,5,21,had,0.0,0.0
150,5,22,enough,127.0,0.02119138995494744
151,5,23,time,105.0,0.017520440513932922
152,5,24,and,50.0,0.00834306691139663
153,5,25,money,117.0,0.019522776572668113
154,5,26,to,0.0,0.0
155,5,27,devote,101.0,0.016852995161021192
156,5,28,attention,356.0,0.059402636409144
157,5,29,to,99.0,0.016519272484565327
158,5,30,his,263.0,0.043884531953946274
159,5,31,personal,393.0,0.06557650592357751
160,5,32,experiments,108.0,0.01802102452861672
161,5,33,on,88.0,0.014683797764058067
162,5,34,internal,237.0,0.03954613716002002
163,5,35,combustion,92.0,0.015351243116969799
164,5,36,engines,55.0,0.009177373602536293
165,5,37,.,0.0,0.0
166,6,0,these,0.0,0.0
167,6,1,experiments,145.0,0.03937007874015748
168,6,2,culminated,211.0,0.057290252511539505
169,6,3,in,0.0,0.0
170,6,4,1896,526.0,0.14281835460222644
171,6,5,with,97.0,0.02633722508824328
172,6,6,the,0.0,0.0
173,6,7,completion,210.0,0.057018734727124626
174,6,8,of,0.0,0.0
175,6,9,his,410.0,0.11132229161010046
176,6,10,own,228.0,0.06190605484659245
177,6,11,self-propelled,327.0,0.08878631550366549
178,6,12,vehicle,121.0,0.03285365191420038
179,6,13,named,160.0,0.04344284550638067
180,6,14,the,101.0,0.027423296225902796
181,6,15,quadricycle,200.0,0.054303556882975834
182,6,16,",",0.0,0.0
183,6,16,which,96.0,0.0260657073038284
