,sentence_id,word_id,word,TRT,relFix
0,0,0,henry,318.0,0.08794247787610619
1,0,1,ford,67.0,0.018528761061946904
2,0,2,",",0.0,0.0
3,0,2,with,121.0,0.03346238938053098
4,0,3,his,228.0,0.06305309734513274
5,0,4,son,158.0,0.043694690265486724
6,0,5,edsel,82.0,0.02267699115044248
7,0,6,",",0.0,0.0
8,0,6,founded,260.0,0.07190265486725664
9,0,7,the,79.0,0.021847345132743362
10,0,8,ford,174.0,0.04811946902654867
11,0,9,foundation,329.0,0.09098451327433628
12,0,10,in,56.0,0.015486725663716814
13,0,11,1936,839.0,0.23202433628318583
14,0,12,as,157.0,0.04341814159292035
15,0,13,a,0.0,0.0
16,0,14,local,89.0,0.02461283185840708
17,0,15,philanthropic,476.0,0.13163716814159293
18,0,16,organization,183.0,0.05060840707964602
19,0,17,with,0.0,0.0
20,0,18,a,0.0,0.0
21,0,19,broad,0.0,0.0
22,0,20,charter,0.0,0.0
23,0,21,to,0.0,0.0
24,0,22,promote,0.0,0.0
25,0,23,human,0.0,0.0
26,0,24,welfare,0.0,0.0
27,0,25,.,0.0,0.0
28,1,0,after,67.0,0.029764549089293647
29,1,1,this,318.0,0.14127054642381165
30,1,2,initial,196.0,0.08707241226121723
31,1,3,success,89.0,0.03953798311861395
32,1,4,",",0.0,0.0
33,1,4,ford,0.0,0.0
34,1,5,left,156.0,0.0693025322079076
35,1,6,edison,227.0,0.1008440693025322
36,1,7,illuminating,331.0,0.14704575744113726
37,1,8,and,0.0,0.0
38,1,9,",",0.0,0.0
39,1,9,with,148.0,0.06574855619724566
40,1,10,other,65.0,0.028876055086628164
41,1,11,investors,126.0,0.05597512216792536
42,1,12,",",0.0,0.0
43,1,12,formed,79.0,0.03509551310528654
44,1,13,the,0.0,0.0
45,1,14,detroit,98.0,0.043536206130608615
46,1,15,automobile,113.0,0.050199911150599734
47,1,16,company,238.0,0.10573078631719236
48,1,17,.,0.0,0.0
49,2,0,with,0.0,0.0
50,2,1,his,329.0,0.25885129819040126
51,2,2,interest,0.0,0.0
52,2,3,in,163.0,0.12824547600314712
53,2,4,race,165.0,0.12981904012588513
54,2,5,cars,191.0,0.15027537372147914
55,2,6,",",0.0,0.0
56,2,6,he,264.0,0.2077104642014162
57,2,7,formed,87.0,0.06845003933910307
58,2,8,a,0.0,0.0
59,2,9,second,72.0,0.05664830841856806
60,2,10,company,0.0,0.0
61,2,11,",",0.0,0.0
62,2,11,the,0.0,0.0
63,2,12,henry,0.0,0.0
64,2,13,ford,0.0,0.0
65,2,14,company,0.0,0.0
66,2,15,.,0.0,0.0
67,3,0,during,856.0,0.1281053576773421
68,3,1,this,220.0,0.03292427416941036
69,3,2,period,427.0,0.06390302304699191
70,3,3,",",0.0,0.0
71,3,3,he,248.0,0.03711463633642622
72,3,4,personally,385.0,0.05761747979646813
73,3,5,drove,643.0,0.09622867404968573
74,3,6,his,297.0,0.04444777012870398
75,3,7,quadricycle,1845.0,0.2761149356480096
76,3,8,to,0.0,0.0
77,3,9,victory,130.0,0.019455252918287938
78,3,10,in,0.0,0.0
79,3,11,a,0.0,0.0
80,3,12,race,0.0,0.0
81,3,13,against,0.0,0.0
82,3,14,alexander,0.0,0.0
83,3,15,winton,0.0,0.0
84,3,16,",",0.0,0.0
85,3,16,a,69.0,0.01032624962586052
86,3,17,well-known,0.0,0.0
87,3,18,driver,219.0,0.03277461837773122
88,3,19,and,0.0,0.0
89,3,20,the,249.0,0.03726429212810536
90,3,21,heavy,148.0,0.022149057168512423
91,3,22,favorite,134.0,0.02005387608500449
92,3,23,on,112.0,0.016761448668063453
93,3,24,october,112.0,0.016761448668063453
94,3,25,10,202.0,0.030230469919185873
95,3,26,",",0.0,0.0
96,3,26,1901,386.0,0.057767135588147264
97,3,27,.,0.0,0.0
98,4,0,ford,820.0,0.22853957636566333
99,4,1,was,741.0,0.20652173913043478
100,4,2,forced,222.0,0.061872909698996656
101,4,3,out,0.0,0.0
102,4,4,of,101.0,0.02814938684503902
103,4,5,the,0.0,0.0
104,4,6,company,121.0,0.03372352285395764
105,4,7,by,69.0,0.019230769230769232
106,4,8,the,405.0,0.112876254180602
107,4,9,investors,76.0,0.021181716833890748
108,4,10,",",0.0,0.0
109,4,10,including,164.0,0.045707915273132664
110,4,11,henry,104.0,0.028985507246376812
111,4,12,m,61.0,0.017001114827201784
112,4,13,.,0.0,0.0
113,4,13,leland,186.0,0.051839464882943144
114,4,14,in,0.0,0.0
115,4,15,1902,89.0,0.024804905239687848
116,4,16,",",0.0,0.0
117,4,16,and,0.0,0.0
118,4,17,the,111.0,0.030936454849498328
119,4,18,company,104.0,0.028985507246376812
120,4,19,was,0.0,0.0
121,4,20,reorganized,121.0,0.03372352285395764
122,4,21,as,0.0,0.0
123,4,22,cadillac,93.0,0.025919732441471572
124,4,23,.,0.0,0.0
125,5,0,in,225.0,0.03536623703237975
126,5,1,1891,625.0,0.09823954731216598
127,5,2,",",0.0,0.0
128,5,2,ford,283.0,0.044482867022948756
129,5,3,became,375.0,0.05894372838729959
130,5,4,an,157.0,0.024677774284816094
131,5,5,engineer,683.0,0.10735617730273499
132,5,6,with,69.0,0.010845646023263125
133,5,7,the,286.0,0.044954416850047155
134,5,8,edison,328.0,0.05155611442942471
135,5,9,illuminating,660.0,0.10374096196164728
136,5,10,company,172.0,0.02703552342030808
137,5,11,",",0.0,0.0
138,5,11,and,148.0,0.023263124803520906
139,5,12,after,289.0,0.04542596667714555
140,5,13,his,364.0,0.05721471235460547
141,5,14,promotion,274.0,0.04306821754165357
142,5,15,to,0.0,0.0
143,5,16,chief,55.0,0.008645080163470606
144,5,17,engineer,0.0,0.0
145,5,18,in,153.0,0.024049041182018234
146,5,19,1893,113.0,0.01776171015403961
147,5,20,",",0.0,0.0
148,5,20,he,0.0,0.0
149,5,21,had,265.0,0.04165356806035838
150,5,22,enough,0.0,0.0
151,5,23,time,98.0,0.015403961018547626
152,5,24,and,0.0,0.0
153,5,25,money,198.0,0.031122288588494185
154,5,26,to,0.0,0.0
155,5,27,devote,142.0,0.022320025149324112
156,5,28,attention,267.0,0.04196793461175731
157,5,29,to,0.0,0.0
158,5,30,his,0.0,0.0
159,5,31,personal,0.0,0.0
160,5,32,experiments,0.0,0.0
161,5,33,on,0.0,0.0
162,5,34,internal,0.0,0.0
163,5,35,combustion,0.0,0.0
164,5,36,engines,133.0,0.02090537566802892
165,5,37,.,0.0,0.0
166,6,0,these,205.0,0.036231884057971016
167,6,1,experiments,540.0,0.09544008483563096
168,6,2,culminated,527.0,0.09314245316366207
169,6,3,in,115.0,0.02032520325203252
170,6,4,1896,845.0,0.1493460586779781
171,6,5,with,194.0,0.03428773418168964
