,sentence_id,word_id,word,TRT,relFix
0,0,0,henry,151.0,0.03181626632954067
1,0,1,ford,70.0,0.014749262536873156
2,0,2,",",0.0,0.0
3,0,2,with,302.0,0.06363253265908134
4,0,3,his,82.0,0.017277707543194267
5,0,4,son,202.0,0.042562157606405394
6,0,5,edsel,646.0,0.13611462284028655
7,0,6,",",0.0,0.0
8,0,6,founded,158.0,0.033291192583227984
9,0,7,the,70.0,0.014749262536873156
10,0,8,ford,0.0,0.0
11,0,9,foundation,241.0,0.05077960387694901
12,0,10,in,0.0,0.0
13,0,11,1936,847.0,0.17846607669616518
14,0,12,as,0.0,0.0
15,0,13,a,0.0,0.0
16,0,14,local,139.0,0.029287821323219554
17,0,15,philanthropic,646.0,0.13611462284028655
18,0,16,organization,224.0,0.0471976401179941
19,0,17,with,83.0,0.01748841129372103
20,0,18,a,102.0,0.021491782553729456
21,0,19,broad,106.0,0.022334597555836493
22,0,20,charter,206.0,0.043404972608512435
23,0,21,to,0.0,0.0
24,0,22,promote,227.0,0.04782975136957438
25,0,23,human,74.0,0.015592077538980193
26,0,24,welfare,170.0,0.03581963758954909
27,0,25,.,0.0,0.0
28,1,0,after,126.0,0.03890089533806731
29,1,1,this,186.0,0.05742513121333745
30,1,2,initial,191.0,0.05896881753627663
31,1,3,success,112.0,0.0345785736338376
32,1,4,",",0.0,0.0
33,1,4,ford,259.0,0.07996295152824946
34,1,5,left,56.0,0.0172892868169188
35,1,6,edison,267.0,0.08243284964495215
36,1,7,illuminating,198.0,0.06112997838839148
37,1,8,and,126.0,0.03890089533806731
38,1,9,",",0.0,0.0
39,1,9,with,357.0,0.11021920345785736
40,1,10,other,101.0,0.031182463723371412
41,1,11,investors,127.0,0.03920963260265514
42,1,12,",",0.0,0.0
43,1,12,formed,354.0,0.10929299166409386
44,1,13,the,0.0,0.0
45,1,14,detroit,205.0,0.06329113924050633
46,1,15,automobile,324.0,0.10003087372645879
47,1,16,company,250.0,0.07718431614695893
48,1,17,.,0.0,0.0
49,2,0,with,134.0,0.06033318325078793
50,2,1,his,162.0,0.07294011706438541
51,2,2,interest,144.0,0.06483565961278703
52,2,3,in,176.0,0.07924358397118415
53,2,4,race,0.0,0.0
54,2,5,cars,175.0,0.07879333633498424
55,2,6,",",0.0,0.0
