Spearman	Kendall	MutualInformation
0.47	0.32	3.09
0.44	0.30	3.40
0.23	0.31	2.40
0.42	0.28	2.83
0.44	0.31	3.22
0.12	0.12	3.14
0.67	0.47	2.30
-0.19	-0.14	2.08
0.47	0.32	2.83
0.28	0.21	2.64
0.29	0.20	3.14
-0.08	-0.08	2.56
0.77	0.60	1.79
1.00	1.00	0.69
0.45	0.33	2.20
0.26	0.16	3.22
0.41	0.27	2.40
0.45	0.32	2.64
0.09	0.05	2.64
0.16	0.11	3.74
0.48	0.35	3.47
0.48	0.36	2.08
0.59	0.42	3.37
0.19	0.16	3.09
0.41	0.29	3.78
0.30	0.21	3.58
0.56	0.41	2.64
0.77	0.64	2.48
0.50	0.33	1.10
0.64	0.43	2.08
0.45	0.36	2.08
1.00	1.00	0.69
0.03	0.03	2.48
0.50	0.40	1.61
0.50	0.33	1.10
0.50	0.35	3.26
0.31	0.24	2.30
-0.13	-0.11	3.00
1.00	1.00	0.69
0.70	0.49	2.40
-0.22	-0.17	2.20
0.47	0.33	3.18
0.31	0.21	2.48
0.13	0.13	2.77
0.13	0.06	2.20
0.14	0.12	2.77
0.15	0.08	3.09
0.01	0.08	2.64
0.37	0.30	2.48
0.90	0.80	1.61
-0.30	-0.20	1.61
0.31	0.20	3.04
0.47	0.39	2.20
0.27	0.20	3.61
0.48	0.33	2.20
0.21	0.12	2.94
-0.60	-0.50	2.08
0.61	0.45	2.48
0.50	0.41	2.71
-0.25	-0.14	1.95
-0.12	-0.05	2.64
0.02	0.02	2.30
0.50	0.39	2.20
0.07	0.00	2.20
0.80	0.67	1.39
0.43	0.33	3.00
0.34	0.22	2.77
0.44	0.35	2.40
0.27	0.13	2.77
0.39	0.25	2.94
0.60	0.40	1.61
-0.23	-0.11	2.20
0.48	0.39	2.48
0.46	0.34	3.47
0.55	0.45	2.40
-1.00	-1.00	1.61
0.00	0.00	1.39
0.50	0.33	1.10
0.07	0.05	2.64
-0.50	-0.33	1.10
-1.00	-1.00	0.69
-0.20	0.00	1.39
-0.37	-0.33	1.79
1.00	1.00	1.39
0.30	0.24	2.40
0.70	0.50	2.20
0.12	0.11	2.20
0.37	0.25	2.64
0.15	0.12	2.83
0.20	0.20	1.61
0.21	0.07	2.30
0.23	0.16	1.63
0.70	0.60	1.61
0.38	0.23	3.43
0.35	0.27	3.09
0.51	0.34	3.40
0.22	0.14	3.18
-0.27	-0.22	2.20
0.48	0.33	2.30
0.47	0.37	2.77
0.34	0.27	2.77
-0.14	-0.07	1.79
0.26	0.20	1.79
0.47	0.32	3.33
0.56	0.45	2.40
-0.23	-0.15	2.77
-0.40	-0.33	1.39
-0.26	-0.14	2.08
0.64	0.43	1.95
0.16	0.11	2.30
-0.27	-0.18	2.48
0.90	0.79	2.08
0.14	0.08	3.00
0.32	0.16	2.71
0.29	0.20	2.71
0.41	0.32	2.77
0.54	0.43	1.95
0.40	0.30	2.94
0.12	0.11	2.30
0.21	0.14	1.95
0.54	0.38	3.74
0.71	0.49	2.56
0.64	0.43	1.95
0.16	0.13	3.26
-0.18	-0.14	1.95
0.35	0.22	2.20
0.50	0.33	1.95
-0.80	-0.67	1.39
0.42	0.31	2.71
-1.00	-1.00	1.10
-0.30	-0.20	1.61
0.40	0.33	1.39
-0.60	-0.33	1.39
0.50	0.33	1.10
1.00	1.00	0.69
0.38	0.24	2.40
-0.50	-0.33	1.10
0.50	0.33	1.10
0.71	0.60	1.79
0.72	0.56	2.20
0.12	0.07	2.83
0.94	0.87	1.79
0.43	0.28	2.71
0.34	0.21	2.48
0.64	0.55	2.48
-0.52	-0.36	2.08
1.00	1.00	1.61
0.00	0.00	1.61
0.80	0.67	1.39
0.23	0.16	2.40
-0.43	-0.33	2.48
1.00	1.00	0.69
0.90	0.80	1.61
-1.00	-1.00	0.69
0.45	0.33	3.33
0.80	0.67	1.39
0.33	0.24	2.30
-0.10	0.00	1.61
-0.01	-0.09	2.40
0.43	0.24	1.95
0.70	0.60	1.61
0.89	0.73	1.79
0.54	0.47	1.79
0.20	0.20	1.61
0.24	0.21	2.08
0.35	0.26	2.56
0.50	0.33	1.10
-0.50	-0.40	1.61
0.09	0.07	1.79
0.49	0.33	1.79
1.00	1.00	1.10
0.71	0.60	1.79
0.47	0.37	3.30
0.00	0.02	2.40
0.39	0.28	3.14
0.54	0.43	1.95
0.26	0.20	1.79
1.00	1.00	0.69
1.00	1.00	1.10
-0.33	-0.29	2.08
0.38	0.24	2.30
0.53	0.42	2.30
0.14	0.07	1.79
1.00	1.00	1.10
0.03	-0.07	1.79
0.50	0.33	1.10
0.50	0.33	1.10
-0.38	-0.33	2.20
1.00	1.00	1.10
-0.40	-0.33	1.39
0.24	0.19	2.64
-0.50	-0.33	1.10
0.15	0.09	3.58
0.70	0.60	1.61
-0.37	-0.33	1.79
-0.80	-0.67	1.39
0.58	0.51	2.30
0.02	0.06	2.20
0.09	0.18	2.48
0.14	0.09	3.04
0.56	0.40	3.33
0.38	0.21	2.56
0.52	0.37	3.18
0.56	0.40	2.77
0.35	0.26	3.04
0.02	0.02	2.30
0.60	0.43	2.08
0.52	0.37	3.37
-0.11	-0.14	1.95
0.08	0.08	2.64
0.71	0.52	2.77
0.35	0.27	2.77
0.51	0.35	2.89
0.45	0.31	3.50
0.68	0.55	2.48
0.47	0.30	2.48
0.41	0.31	2.40
0.47	0.39	2.20
0.69	0.43	2.08
1.00	1.00	0.69
0.45	0.44	2.20
-1.00	-1.00	0.69
0.50	0.39	2.48
0.56	0.38	2.30
0.26	0.11	2.30
0.30	0.17	2.20
0.50	0.33	1.10
1.00	1.00	0.69
-0.02	0.01	2.71
0.08	0.06	2.20
0.71	0.52	1.95
0.34	0.28	2.83
0.26	0.15	2.94
0.05	0.06	2.20
0.10	0.07	2.08
0.11	0.09	2.40
