Spearman	Kendall	MutualInformation
0.61	0.43	3.09
0.73	0.55	3.40
0.67	0.49	2.40
0.87	0.66	2.83
0.69	0.52	3.22
0.50	0.37	3.14
0.64	0.64	2.30
0.57	0.43	2.08
0.74	0.56	2.83
0.58	0.41	2.64
0.59	0.48	3.14
0.47	0.31	2.56
0.66	0.47	1.79
1.00	1.00	0.69
0.52	0.39	2.20
0.85	0.72	2.20
0.71	0.52	3.22
0.35	0.31	2.40
0.84	0.66	3.26
0.64	0.43	2.64
0.53	0.38	2.64
0.55	0.41	3.74
0.63	0.47	3.47
0.50	0.36	2.08
0.79	0.61	3.37
0.69	0.53	3.09
0.60	0.43	3.78
0.73	0.54	3.58
0.70	0.45	2.64
0.82	0.62	1.95
0.79	0.58	2.48
-0.50	-0.33	1.10
0.88	0.71	2.08
0.52	0.36	2.08
-1.00	-1.00	0.69
0.83	0.67	2.48
-0.20	-0.20	1.61
0.50	0.33	1.10
0.71	0.50	3.26
0.71	0.60	2.30
0.55	0.34	2.64
0.18	0.09	3.00
1.00	1.00	0.69
0.75	0.56	2.40
0.28	0.22	2.20
0.54	0.35	3.18
0.87	0.70	2.48
0.46	0.32	2.77
0.80	0.61	2.20
1.00	1.00	0.69
0.58	0.45	2.77
0.67	0.47	3.09
0.84	0.67	2.64
0.66	0.45	2.48
0.60	0.40	1.61
0.60	0.40	1.61
0.74	0.55	3.04
0.45	0.44	2.20
0.53	0.38	3.61
0.65	0.44	2.20
0.36	0.25	2.94
0.29	0.21	2.08
0.56	0.39	2.48
0.66	0.47	2.71
0.36	0.33	1.95
0.69	0.52	2.77
0.70	0.49	2.64
0.65	0.47	2.30
0.58	0.44	2.20
0.65	0.56	2.20
0.20	0.00	1.39
0.63	0.46	3.00
0.86	0.72	2.56
0.42	0.30	2.77
0.75	0.56	2.40
0.47	0.32	2.77
0.73	0.52	2.94
0.70	0.60	1.61
0.60	0.44	2.20
0.68	0.48	2.48
0.67	0.50	3.47
0.80	0.64	2.40
0.10	0.00	1.61
-0.90	-0.80	1.61
0.40	0.33	1.39
-0.50	-0.33	1.10
0.52	0.36	2.64
0.50	0.33	1.10
-1.00	-1.00	0.69
0.40	0.33	1.39
0.14	0.07	1.79
0.80	0.67	1.39
0.66	0.49	2.40
0.73	0.56	2.20
0.78	0.67	2.20
0.40	0.33	1.39
0.41	0.32	2.64
0.79	0.59	2.94
0.66	0.46	2.83
0.60	0.40	1.61
0.52	0.33	2.30
0.64	0.46	4.22
0.50	0.40	1.61
0.63	0.46	3.43
0.72	0.56	3.09
0.87	0.70	3.40
0.66	0.50	2.71
0.40	0.30	3.18
0.35	0.22	2.20
0.85	0.69	2.30
0.68	0.50	2.77
0.66	0.47	1.79
0.74	0.55	2.77
-0.37	-0.33	1.79
0.71	0.47	1.79
0.68	0.47	3.33
0.88	0.75	2.40
0.80	0.60	1.61
0.25	0.17	2.77
0.40	0.33	1.39
0.71	0.50	2.08
0.39	0.24	1.95
0.71	0.60	2.30
0.40	0.27	2.48
0.64	0.50	2.08
0.60	0.41	3.00
0.61	0.43	1.95
0.77	0.60	2.71
0.54	0.41	2.71
0.78	0.60	2.77
0.82	0.71	1.95
0.65	0.49	2.94
0.60	0.38	2.30
-0.07	-0.05	1.95
0.84	0.65	3.74
0.78	0.62	2.56
0.61	0.52	1.95
0.69	0.48	3.22
0.63	0.40	3.26
-0.75	-0.62	1.95
0.08	0.06	2.20
0.11	0.14	1.95
0.20	0.00	1.39
0.64	0.45	2.71
0.50	0.33	1.10
0.30	0.20	1.61
0.80	0.67	1.39
0.40	0.33	1.39
0.50	0.33	1.10
1.00	1.00	0.69
0.72	0.56	2.40
1.00	1.00	1.10
0.50	0.33	1.10
0.54	0.47	1.79
0.77	0.61	2.20
0.72	0.54	2.83
0.83	0.73	1.79
0.86	0.68	2.71
0.87	0.70	2.48
0.70	0.52	2.48
0.33	0.21	2.08
0.60	0.40	1.61
0.90	0.80	1.61
1.00	1.00	1.10
-0.20	0.00	1.39
0.56	0.42	2.40
0.65	0.42	2.48
1.00	1.00	0.69
0.70	0.60	1.61
-1.00	-1.00	0.69
0.55	0.39	3.33
0.60	0.33	1.39
0.75	0.56	2.30
-0.20	-0.20	1.61
0.37	0.27	2.40
0.43	0.33	1.95
0.40	0.40	1.61
0.94	0.87	1.79
0.83	0.73	1.79
0.60	0.40	1.61
0.88	0.69	3.33
0.81	0.64	2.08
0.74	0.56	2.56
1.00	1.00	1.10
0.40	0.40	1.61
0.60	0.47	1.79
0.83	0.73	1.79
0.50	0.33	1.10
0.66	0.42	2.30
0.37	0.33	1.79
0.77	0.57	3.30
0.30	0.24	2.40
0.71	0.48	3.14
0.68	0.52	1.95
0.40	0.40	1.61
0.60	0.33	1.39
-0.14	-0.07	1.79
1.00	1.00	0.69
0.50	0.33	1.10
0.55	0.36	2.08
0.83	0.69	2.30
0.83	0.69	2.30
0.43	0.33	1.79
1.00	1.00	1.10
0.60	0.47	1.79
1.00	1.00	1.10
0.50	0.33	1.10
0.79	0.61	2.48
0.70	0.50	2.20
-0.50	-0.33	1.10
0.80	0.67	1.39
0.51	0.41	2.64
-0.50	-0.33	1.10
0.65	0.45	3.58
1.00	1.00	1.61
-0.49	-0.33	1.79
1.00	1.00	1.39
0.67	0.56	2.30
0.13	0.06	2.20
0.34	0.15	2.48
0.49	0.33	3.04
0.79	0.60	3.33
0.64	0.49	2.56
0.40	0.28	3.18
0.76	0.55	2.77
0.70	0.51	3.04
0.59	0.38	2.30
0.88	0.79	2.08
0.51	0.34	3.37
0.36	0.14	1.95
0.93	0.80	2.64
0.52	0.40	2.77
0.74	0.57	2.77
0.87	0.71	2.89
0.74	0.58	3.50
0.47	0.36	2.48
0.83	0.64	2.48
0.38	0.24	2.40
0.70	0.61	2.20
0.74	0.64	2.08
-1.00	-1.00	0.69
0.78	0.61	2.20
1.00	1.00	0.69
0.81	0.58	2.48
0.67	0.47	2.30
0.42	0.29	2.30
0.73	0.56	2.20
-0.50	-0.33	1.10
-1.00	-1.00	0.69
0.76	0.58	2.71
0.10	0.06	2.20
0.04	-0.05	1.95
0.49	0.35	2.83
0.62	0.52	2.94
0.48	0.33	2.20
0.81	0.64	2.08
0.23	0.13	2.40
-0.20	0.00	1.39
0.78	0.56	2.64
0.27	0.21	2.64
0.80	0.67	1.39
0.45	0.38	2.64
0.50	0.33	1.10
0.94	0.87	1.79
0.90	0.80	1.61
0.67	0.57	2.08
0.50	0.33	1.10
0.50	0.33	1.10
1.00	1.00	0.69
0.67	0.50	2.20
0.59	0.40	2.77
0.74	0.58	2.64
0.19	0.14	2.08
0.70	0.60	1.61
0.20	0.00	1.39
0.40	0.33	1.39
0.50	0.40	1.61
0.56	0.43	2.64
0.50	0.20	1.61
0.50	0.33	1.10
0.80	0.60	1.61
-0.11	-0.05	1.95
0.77	0.62	2.83
-0.12	-0.07	2.08
0.72	0.56	2.30
0.38	0.26	2.83
0.81	0.64	2.08
0.20	0.00	1.39
0.54	0.38	2.30
0.10	0.07	2.30
-0.40	-0.33	1.39
0.57	0.41	2.89
0.80	0.67	1.39
0.59	0.47	2.83
0.46	0.33	1.95
0.31	0.20	1.79
0.79	0.64	2.48
0.80	0.67	1.39
0.78	0.57	3.56
0.55	0.43	2.64
0.64	0.45	2.48
0.80	0.60	1.61
0.90	0.80	1.61
0.64	0.51	2.56
0.65	0.52	2.77
0.60	0.39	2.48
