Spearman	Kendall	MutualInformation
0.44	0.30	3.09
-0.19	-0.13	3.40
0.16	0.16	2.40
0.01	-0.03	2.83
0.02	0.01	3.22
0.03	0.03	3.14
-0.03	-0.02	2.30
-0.71	-0.57	2.08
-0.07	0.00	2.83
-0.11	-0.10	2.64
-0.13	-0.09	3.14
0.36	0.23	2.56
0.60	0.47	1.79
1.00	1.00	0.69
0.07	0.06	2.20
0.10	0.06	2.20
0.18	0.14	3.22
0.25	0.20	2.40
0.00	-0.01	3.26
0.17	0.08	2.64
0.18	0.08	2.64
0.28	0.21	3.74
0.29	0.19	3.47
-0.31	-0.29	2.08
-0.10	-0.08	3.37
0.07	0.06	3.09
0.10	0.06	3.78
-0.02	-0.03	3.58
0.04	0.08	2.64
0.71	0.52	1.95
0.29	0.18	2.48
-0.50	-0.33	1.10
0.69	0.50	2.08
0.14	0.14	2.08
1.00	1.00	0.69
-0.41	-0.27	2.48
0.50	0.40	1.61
1.00	1.00	1.10
0.10	0.05	3.26
0.12	0.11	2.30
-0.29	-0.23	2.64
0.28	0.17	3.00
1.00	1.00	0.69
-0.23	-0.20	2.40
0.08	0.00	2.20
0.06	0.07	3.18
0.36	0.24	2.48
-0.07	0.03	2.77
0.27	0.28	2.20
1.00	1.00	0.69
-0.26	-0.22	2.77
-0.03	-0.04	3.09
-0.02	0.01	2.64
-0.12	-0.12	2.48
0.30	0.20	1.61
-0.50	-0.40	1.61
0.21	0.10	3.04
-0.70	-0.50	2.20
0.11	0.06	3.61
0.40	0.33	2.20
0.49	0.37	2.94
-0.29	-0.21	2.08
-0.34	-0.27	2.48
-0.14	-0.09	2.71
0.11	0.14	1.95
0.13	0.08	2.77
0.33	0.27	2.64
0.18	0.16	2.30
0.27	0.22	2.20
0.08	0.06	2.20
0.40	0.33	1.39
0.07	0.00	3.00
0.32	0.28	2.56
-0.09	-0.03	2.77
-0.28	-0.24	2.40
-0.07	-0.07	2.77
0.02	0.03	2.94
0.90	0.80	1.61
0.20	0.11	2.20
-0.24	-0.18	2.48
-0.07	-0.05	3.47
0.25	0.20	2.40
0.10	0.00	1.61
-0.70	-0.60	1.61
0.40	0.33	1.39
-0.50	-0.33	1.10
0.13	0.08	2.64
1.00	1.00	1.10
1.00	1.00	0.69
1.00	1.00	1.39
0.31	0.20	1.79
0.80	0.67	1.39
0.47	0.35	2.40
0.30	0.22	2.20
0.50	0.39	2.20
0.20	0.00	1.39
-0.36	-0.23	2.64
-0.12	-0.13	2.94
-0.07	-0.03	2.83
-0.60	-0.40	1.61
0.19	0.07	2.30
-0.12	-0.09	1.31
0.60	0.40	1.61
-0.19	-0.10	3.43
-0.19	-0.13	3.09
0.24	0.16	3.40
0.15	0.10	2.71
0.27	0.18	3.18
0.37	0.28	2.20
0.36	0.24	2.30
0.06	0.03	2.77
0.20	0.07	1.79
-0.01	0.00	2.77
0.77	0.60	1.79
0.49	0.33	1.79
0.28	0.20	3.33
0.24	0.16	2.40
0.60	0.40	1.61
0.01	-0.03	2.77
0.80	0.67	1.39
-0.45	-0.36	2.08
-0.46	-0.33	1.95
0.19	0.11	2.30
0.07	0.03	2.48
-0.02	0.00	2.08
0.03	0.01	3.00
0.11	0.14	1.95
0.21	0.12	2.71
0.39	0.28	2.71
0.12	0.10	2.77
0.14	0.05	1.95
0.08	0.06	2.94
-0.01	-0.07	2.30
0.14	0.05	1.95
0.08	0.05	3.74
0.19	0.08	2.56
0.46	0.33	1.95
-0.02	-0.02	3.22
-0.03	-0.02	3.26
-0.07	-0.14	1.95
-0.20	-0.22	2.20
-0.61	-0.52	1.95
-0.60	-0.33	1.39
-0.15	-0.10	2.71
1.00	1.00	1.10
0.00	0.00	1.61
0.80	0.67	1.39
0.40	0.33	1.39
1.00	1.00	1.10
1.00	1.00	0.69
-0.24	-0.16	2.40
-1.00	-1.00	1.10
-1.00	-1.00	1.10
-0.14	-0.33	1.79
0.25	0.17	2.20
0.20	0.13	2.83
0.49	0.33	1.79
0.34	0.26	2.71
