Spearman	Kendall	MutualInformation
0.27	0.16	3.09
0.59	0.50	2.77
0.30	0.26	2.56
0.10	-0.02	2.40
0.35	0.26	3.00
0.17	0.14	2.89
0.89	0.81	1.95
0.50	0.33	1.95
0.81	0.57	2.08
1.00	1.00	0.69
0.21	0.17	2.94
0.70	0.60	1.61
0.36	0.23	3.00
0.26	0.20	1.79
0.03	0.07	1.79
0.41	0.30	2.48
0.76	0.64	2.08
-0.13	-0.06	2.20
0.49	0.30	3.04
0.36	0.33	1.95
0.37	0.33	1.79
0.24	0.21	2.08
0.80	0.60	1.61
-0.04	-0.03	2.56
0.12	0.17	2.20
0.30	0.25	2.83
0.60	0.47	1.79
0.43	0.33	2.20
0.14	0.07	1.79
0.14	0.09	2.40
0.66	0.54	2.83
0.39	0.43	1.95
0.71	0.58	2.48
0.09	0.07	1.79
0.43	0.20	1.79
0.30	0.22	3.14
-0.50	-0.33	1.10
0.25	0.20	3.18
0.56	0.39	3.43
0.63	0.42	2.40
0.46	0.33	2.77
0.19	0.07	2.08
0.25	0.14	1.95
0.09	0.05	2.56
0.29	0.20	3.09
0.37	0.29	2.30
0.53	0.41	2.64
0.65	0.52	3.33
0.59	0.42	3.69
0.48	0.34	3.43
0.51	0.41	2.71
0.25	0.19	2.94
0.63	0.46	3.18
0.14	0.03	2.56
0.38	0.29	3.18
-0.55	-0.44	2.20
0.53	0.34	3.14
0.55	0.45	2.48
0.16	0.18	2.56
0.39	0.25	3.58
0.15	0.10	2.71
0.51	0.33	2.77
0.51	0.37	3.00
0.20	0.00	1.39
0.10	0.04	3.26
0.77	0.60	1.79
0.15	0.02	2.30
-0.14	-0.21	2.08
-0.06	-0.04	2.94
0.00	0.00	1.39
0.33	0.25	3.14
0.52	0.37	2.94
0.50	0.37	2.71
0.67	0.53	2.40
0.24	0.13	2.40
0.04	0.03	3.00
0.72	0.56	2.56
0.42	0.31	2.56
0.38	0.26	3.14
0.09	0.10	2.64
0.50	0.42	2.30
0.09	0.06	3.00
0.37	0.25	3.00
0.58	0.43	3.04
0.15	0.10	2.77
0.67	0.56	2.30
0.36	0.24	3.22
0.47	0.32	2.64
0.14	0.09	3.33
0.43	0.33	3.37
0.34	0.27	2.64
0.19	0.13	2.40
1.00	1.00	1.10
0.32	0.24	3.26
-0.28	-0.19	2.89
0.68	0.52	1.95
1.00	1.00	0.69
0.53	0.37	3.26
0.18	0.09	3.30
0.06	0.07	2.77
0.45	0.32	3.26
-0.05	-0.05	2.71
0.48	0.36	2.56
nan	nan	0.00
0.21	0.14	1.95
0.12	0.03	2.71
0.11	0.06	3.18
0.46	0.31	2.89
0.43	0.31	3.00
0.25	0.16	2.64
0.40	0.33	1.39
0.44	0.38	2.30
0.51	0.37	3.04
0.56	0.38	2.77
0.26	0.16	2.94
0.08	0.06	2.48
0.33	0.22	3.18
0.53	0.39	2.89
1.00	1.00	1.10
0.31	0.21	3.00
0.26	0.25	2.64
0.49	0.36	2.48
0.50	0.37	2.94
0.75	0.62	1.95
0.49	0.33	3.30
0.11	0.03	2.89
0.61	0.47	2.77
0.33	0.25	2.83
-0.40	-0.33	1.39
0.34	0.27	3.26
0.25	0.16	2.89
0.54	0.47	1.79
0.27	0.21	2.64
0.25	0.18	2.77
0.05	0.00	2.20
0.26	0.15	2.77
0.22	0.12	2.71
0.14	0.09	3.22
-0.05	0.00	2.08
-0.03	-0.02	3.18
