Spearman	Kendall	MutualInformation
0.68	0.48	3.09
0.44	0.29	3.09
0.61	0.45	2.77
0.90	0.80	1.61
0.69	0.54	2.56
0.88	0.73	2.77
0.83	0.73	2.48
0.69	0.53	2.40
0.44	0.32	3.00
0.56	0.35	2.89
0.89	0.81	1.95
0.79	0.62	1.95
0.67	0.36	2.08
1.00	1.00	0.69
0.64	0.44	2.94
1.00	1.00	1.61
0.72	0.48	3.00
0.83	0.73	1.79
0.62	0.47	2.77
0.26	0.20	1.79
-0.10	-0.06	2.48
0.79	0.64	2.08
0.68	0.50	2.20
0.51	0.34	3.04
0.64	0.43	1.95
0.76	0.56	2.30
0.37	0.33	1.79
0.74	0.64	2.08
0.50	0.20	1.61
0.57	0.41	2.56
0.65	0.44	2.20
1.00	1.00	0.69
0.45	0.28	2.83
0.50	0.33	1.10
0.89	0.73	1.79
0.70	0.56	2.20
0.37	0.33	1.79
0.15	0.13	2.40
0.66	0.59	2.83
0.52	0.38	2.40
0.89	0.71	1.95
0.50	0.42	2.48
0.83	0.73	1.79
0.71	0.60	1.79
0.61	0.47	3.37
0.22	0.11	3.14
0.50	0.33	1.10
0.68	0.45	3.18
0.71	0.51	3.43
0.60	0.41	2.56
0.55	0.31	2.40
0.46	0.33	2.77
0.36	0.29	2.08
0.79	0.62	1.95
0.42	0.26	2.56
0.42	0.22	3.09
0.39	0.29	2.30
0.46	0.32	2.64
0.74	0.56	3.33
0.62	0.47	3.69
0.67	0.49	3.43
0.83	0.64	3.37
0.67	0.50	2.71
0.42	0.26	2.94
0.75	0.56	3.18
0.82	0.65	2.64
0.65	0.44	2.56
0.48	0.33	3.18
0.63	0.44	2.20
0.80	0.67	1.39
0.69	0.50	3.14
0.72	0.55	2.48
0.79	0.59	2.56
0.59	0.40	3.58
0.81	0.61	3.08
0.74	0.56	2.71
0.77	0.57	2.77
0.59	0.45	3.00
0.80	0.67	1.39
0.62	0.41	2.64
0.43	0.31	3.26
0.83	0.73	1.79
0.22	0.20	2.30
0.26	0.21	2.08
0.61	0.44	2.94
0.64	0.41	3.04
0.80	0.67	1.39
0.59	0.41	3.14
0.51	0.39	2.94
0.62	0.47	2.71
0.87	0.67	2.40
0.06	0.05	2.40
0.56	0.39	3.00
0.79	0.62	2.56
0.77	0.57	3.30
0.62	0.41	2.71
0.66	0.54	2.56
0.76	0.58	3.14
0.77	0.52	2.64
0.58	0.47	2.30
0.84	0.69	3.00
0.79	0.63	3.00
0.75	0.60	3.04
0.63	0.45	2.77
0.55	0.29	2.30
0.79	0.58	3.22
0.64	0.45	2.64
0.34	0.25	3.33
0.81	0.61	3.37
0.85	0.67	2.56
0.40	0.28	2.20
0.46	0.32	2.64
0.78	0.56	2.40
1.00	1.00	1.10
0.71	0.50	3.26
0.59	0.46	2.56
0.48	0.32	2.89
0.86	0.71	1.95
1.00	1.00	1.10
1.00	1.00	0.69
0.53	0.38	3.26
0.66	0.46	3.30
0.46	0.33	2.77
0.59	0.40	3.26
0.37	0.26	2.71
0.77	0.60	3.22
0.30	0.28	2.56
nan	nan	0.00
0.64	0.43	1.95
0.67	0.52	2.71
0.55	0.37	3.18
0.10	0.00	1.61
0.64	0.49	3.22
0.70	0.50	2.89
0.53	0.39	3.64
0.60	0.47	3.00
0.66	0.54	2.64
0.40	0.33	1.39
0.84	0.64	2.30
0.67	0.50	3.04
0.68	0.50	2.77
0.70	0.49	2.94
0.53	0.39	2.48
0.63	0.45	3.18
0.69	0.54	2.64
0.80	0.56	2.89
1.00	1.00	1.10
0.69	0.52	3.00
0.74	0.56	2.64
0.62	0.52	2.48
0.82	0.63	2.94
0.36	0.14	1.95
0.56	0.41	3.30
0.85	0.71	2.40
0.75	0.58	2.89
0.67	0.50	2.08
0.71	0.50	2.77
0.77	0.57	2.77
0.83	0.66	2.83
0.40	0.33	1.39
0.75	0.53	3.26
0.60	0.45	2.89
0.83	0.73	1.79
0.76	0.58	2.64
0.79	0.62	2.77
0.05	0.06	2.20
0.42	0.30	2.77
0.68	0.48	2.89
0.49	0.38	2.77
0.74	0.58	2.71
0.79	0.62	2.56
0.58	0.40	3.22
0.55	0.43	2.08
0.47	0.33	3.18
0.71	0.51	3.43
0.70	0.60	1.61
0.36	0.26	3.40
0.28	0.20	2.30
0.71	0.60	1.79
0.72	0.51	3.22
0.54	0.45	2.48
0.86	0.73	2.48
0.20	0.00	1.39
0.65	0.42	2.30
0.63	0.44	2.20
0.43	0.35	2.89
0.70	0.54	3.18
0.66	0.48	3.14
0.90	0.80	1.61
0.56	0.40	2.83
0.81	0.61	3.09
0.74	0.56	2.56
0.59	0.44	3.47
0.56	0.39	3.50
0.67	0.50	2.20
0.67	0.49	3.26
1.00	1.00	1.10
0.40	0.33	1.39
0.66	0.45	3.26
0.61	0.45	2.71
0.69	0.52	2.71
0.71	0.52	2.64
0.82	0.61	3.04
0.57	0.42	3.18
0.64	0.50	3.18
0.77	0.61	2.20
0.45	0.28	2.20
0.91	0.76	3.18
0.82	0.62	1.95
0.46	0.27	3.00
0.57	0.44	3.30
0.71	0.47	3.14
0.83	0.67	2.56
0.67	0.50	2.20
1.00	1.00	1.39
0.80	0.61	3.56
0.69	0.55	2.48
0.60	0.43	3.71
0.77	0.56	3.00
0.89	0.72	2.56
0.49	0.33	1.79
0.86	0.68	3.04
1.00	1.00	0.69
0.40	0.33	1.39
0.92	0.79	2.56
0.70	0.53	3.22
0.49	0.34	3.18
0.66	0.56	2.40
0.48	0.30	3.26
0.57	0.39	2.89
0.83	0.62	2.89
1.00	1.00	1.10
0.67	0.47	2.77
0.67	0.50	2.08
0.57	0.44	2.20
0.52	0.37	3.40
0.50	0.33	1.10
0.03	0.07	1.79
0.77	0.56	2.71
0.49	0.37	2.89
0.61	0.38	2.40
0.71	0.49	3.33
0.72	0.60	2.30
1.00	1.00	0.69
0.70	0.53	2.40
0.63	0.47	2.64
0.67	0.49	2.64
0.42	0.23	3.43
0.61	0.46	3.18
0.55	0.42	3.56
0.20	0.20	1.61
0.68	0.45	3.64
1.00	1.00	1.39
0.60	0.40	1.61
0.67	0.50	3.14
0.37	0.29	2.30
0.60	0.33	1.39
-0.10	0.00	1.61
0.68	0.44	3.04
1.00	1.00	1.39
0.73	0.56	2.89
0.60	0.43	3.09
0.51	0.41	2.64
0.60	0.50	2.08
0.88	0.71	2.08
0.77	0.56	2.20
0.82	0.61	3.22
0.51	0.40	2.89
0.79	0.60	2.83
-1.00	-1.00	1.10
0.73	0.50	2.71
0.74	0.54	3.00
0.66	0.49	2.71
0.84	0.71	2.94
0.50	0.37	2.71
0.52	0.37	3.22
0.50	0.33	1.10
1.00	1.00	1.10
0.38	0.22	2.77
0.43	0.33	1.95
0.27	0.25	2.83
0.87	0.74	2.56
0.46	0.31	2.71
0.52	0.39	2.20
1.00	1.00	1.10
1.00	1.00	0.69
0.63	0.43	2.64
0.50	0.33	1.10
0.49	0.39	3.00
0.68	0.52	1.95
0.71	0.47	1.79
0.02	0.02	3.33
