Spearman	Kendall	MutualInformation
-0.01	-0.02	3.09
-0.04	-0.01	3.09
0.22	0.13	2.77
0.30	0.20	1.61
-0.13	-0.05	2.56
0.41	0.27	2.77
0.47	0.36	2.48
0.23	0.13	2.40
0.04	0.03	3.00
0.09	0.08	2.89
0.71	0.62	1.95
0.00	0.05	1.95
0.64	0.50	2.08
1.00	1.00	0.69
-0.02	-0.03	2.94
0.70	0.60	1.61
-0.10	-0.07	3.00
-0.09	-0.07	1.79
0.61	0.48	2.77
0.66	0.47	1.79
-0.24	-0.15	2.48
0.62	0.50	2.08
0.18	0.06	2.20
0.25	0.20	3.04
-0.11	0.05	1.95
0.02	-0.02	2.30
0.14	0.07	1.79
0.14	0.14	2.08
0.90	0.80	1.61
0.24	0.23	2.56
-0.10	-0.06	2.20
1.00	1.00	0.69
0.28	0.18	2.83
1.00	1.00	1.10
0.49	0.33	1.79
0.53	0.39	2.20
0.83	0.73	1.79
0.29	0.24	2.40
0.55	0.43	2.83
0.07	0.05	2.40
0.32	0.24	1.95
0.42	0.33	2.48
0.26	0.20	1.79
0.77	0.60	1.79
0.12	0.09	3.37
-0.28	-0.20	3.14
0.50	0.33	1.10
-0.24	-0.16	3.18
0.37	0.26	3.43
0.40	0.28	2.56
-0.31	-0.24	2.40
-0.31	-0.25	2.77
-0.62	-0.50	2.08
-0.07	-0.14	1.95
0.15	0.08	2.56
0.11	0.08	3.09
0.72	0.56	2.30
0.35	0.23	2.64
0.19	0.13	3.62
0.01	0.00	3.43
0.42	0.32	3.37
0.84	0.62	2.71
0.06	0.01	2.94
0.33	0.19	3.18
0.69	0.54	2.64
-0.67	-0.44	2.56
0.10	0.08	3.18
0.05	0.06	2.20
0.30	0.23	3.14
-0.31	-0.21	2.48
0.05	0.05	2.56
-0.12	-0.08	3.58
0.21	0.14	3.08
-0.47	-0.39	2.71
0.32	0.20	2.77
0.05	0.02	3.00
0.40	0.33	1.39
-0.09	-0.03	2.64
-0.24	-0.16	3.26
0.09	0.07	1.79
0.61	0.38	2.30
0.43	0.29	2.08
-0.31	-0.22	2.94
0.38	0.27	3.04
-0.20	0.00	1.39
-0.05	-0.04	3.14
-0.01	0.02	2.94
0.44	0.31	2.71
-0.09	-0.09	2.40
0.19	0.09	2.40
-0.02	0.00	3.00
0.29	0.28	2.56
0.11	0.06	3.30
0.05	0.01	2.71
0.58	0.46	2.56
0.10	0.07	3.14
0.37	0.27	2.64
-0.25	-0.24	2.30
0.12	0.04	3.00
0.26	0.12	3.00
0.16	0.13	3.04
-0.28	-0.13	2.77
0.28	0.16	2.30
0.13	0.06	3.22
-0.20	-0.12	2.64
0.02	-0.02	3.33
0.19	0.14	3.37
0.10	0.03	2.56
-0.47	-0.22	2.20
-0.05	-0.03	2.64
-0.48	-0.27	2.40
-1.00	-1.00	1.10
0.36	0.24	3.26
0.10	0.03	2.56
0.04	0.01	2.89
0.25	0.24	1.95
0.50	0.33	1.10
-1.00	-1.00	0.69
0.42	0.31	3.26
-0.09	-0.04	3.30
0.02	0.02	2.77
0.50	0.34	3.26
-0.05	0.01	2.71
0.48	0.35	3.22
0.16	0.13	2.56
nan	nan	0.00
0.36	0.24	1.95
-0.41	-0.30	2.71
-0.10	0.00	1.61
0.42	0.30	3.22
0.24	0.14	2.89
0.06	0.02	3.00
0.25	0.16	2.64
0.80	0.67	1.39
0.03	0.01	3.04
-0.13	-0.09	2.94
-0.24	-0.15	2.48
0.43	0.33	3.18
-0.02	-0.01	2.64
-0.23	-0.15	2.89
-0.50	-0.33	1.10
0.07	0.06	3.00
0.31	0.21	2.64
-0.06	-0.03	2.48
0.07	0.03	2.94
0.14	0.14	1.95
0.10	0.10	3.30
0.07	0.02	2.40
-0.43	-0.28	2.89
0.02	0.00	2.08
0.37	0.30	2.77
0.12	0.05	2.77
0.10	0.03	2.83
0.40	0.33	1.39
0.26	0.20	3.26
-0.08	-0.05	2.89
0.26	0.20	1.79
-0.25	-0.19	2.64
0.45	0.33	2.77
-0.38	-0.22	2.20
0.13	0.08	2.77
0.35	0.19	2.89
0.15	0.10	2.77
0.36	0.22	2.71
0.69	0.49	2.56
-0.09	-0.07	3.22
-0.02	0.07	2.08
0.08	0.10	3.18
0.09	0.06	3.43
-0.20	-0.20	1.61
0.01	0.07	2.30
-0.09	-0.07	1.79
-0.11	-0.11	3.22
0.52	0.36	2.48
-0.20	-0.21	2.48
0.20	0.00	1.39
0.04	0.07	2.30
0.32	0.17	2.20
-0.30	-0.20	2.89
-0.20	-0.14	3.18
0.34	0.23	3.14
0.30	0.20	1.61
-0.25	-0.19	2.83
-0.04	-0.02	3.09
0.20	0.15	2.56
0.10	0.06	3.47
0.11	0.06	3.50
0.35	0.33	2.20
0.50	0.33	1.10
-0.80	-0.67	1.39
-0.26	-0.19	3.26
0.37	0.26	2.71
-0.18	-0.12	2.71
0.23	0.21	2.64
0.19	0.07	3.04
0.34	0.24	3.18
0.12	0.09	3.18
0.30	0.22	2.20
0.53	0.39	2.20
0.21	0.17	3.18
0.71	0.62	1.95
0.25	0.14	3.00
0.45	0.30	3.30
0.21	0.15	3.14
0.03	-0.03	2.56
0.28	0.17	2.20
0.80	0.67	1.39
-0.32	-0.21	3.56
0.08	0.06	2.48
-0.09	-0.07	3.65
0.27	0.16	3.00
0.40	0.38	2.56
0.71	0.47	1.79
0.17	0.11	3.04
1.00	1.00	0.69
-0.40	-0.33	1.39
0.46	0.33	2.56
0.40	0.28	3.22
0.15	0.14	3.18
0.09	0.02	2.40
-0.15	-0.10	3.26
-0.08	-0.10	2.89
1.00	1.00	1.10
0.55	0.42	2.77
0.36	0.29	2.08
0.30	0.28	2.20
0.01	-0.00	3.40
-0.50	-0.33	1.10
0.43	0.20	1.79
0.31	0.26	2.71
0.20	0.11	2.89
-0.50	-0.38	2.40
0.09	0.05	3.33
0.75	0.60	2.30
-1.00	-1.00	0.69
0.55	0.49	2.40
-0.28	-0.19	2.64
0.19	0.12	2.64
-0.36	-0.25	3.43
0.38	0.25	3.18
0.11	0.09	3.56
0.30	0.20	1.61
-0.02	-0.00	3.64
0.80	0.67	1.39
0.70	0.60	1.61
0.32	0.22	3.14
0.66	0.42	2.30
0.00	0.00	1.39
-0.60	-0.40	1.61
0.21	0.13	3.04
0.40	0.33	1.39
0.35	0.20	2.89
0.22	0.16	3.09
-0.29	-0.21	2.08
-0.26	-0.14	2.08
0.40	0.22	2.20
0.05	0.05	3.22
0.36	0.22	2.89
0.19	0.10	2.83
0.50	0.33	1.10
-0.50	-0.35	2.71
0.14	0.11	3.00
-0.06	-0.09	2.71
0.60	0.47	2.94
-0.39	-0.30	2.71
0.34	0.27	3.22
0.50	0.33	1.10
-0.50	-0.33	1.10
0.11	0.07	2.77
0.00	-0.05	1.95
-0.09	-0.07	2.83
0.43	0.31	2.56
0.39	0.22	2.71
0.07	0.00	2.20
0.50	0.33	1.10
-1.00	-1.00	0.69
0.16	0.14	2.64
-0.50	-0.33	1.10
0.15	0.11	3.00
0.43	0.33	1.95
0.37	0.33	1.79
0.33	0.23	3.33
0.03	0.02	3.14
0.80	0.60	1.61
0.27	0.23	2.56
0.62	0.43	2.64
1.00	1.00	1.10
-0.04	-0.02	3.26
-0.40	-0.33	1.39
0.29	0.22	3.04
-0.11	-0.08	2.89
0.45	0.35	2.71
0.18	0.12	2.64
-0.50	-0.33	1.10
0.73	0.52	2.48
-1.00	-1.00	0.69
0.16	0.13	2.83
0.11	0.05	2.40
-0.50	-0.33	1.10
0.08	0.05	3.30
0.12	0.07	3.22
0.64	0.49	2.64
-0.20	-0.13	2.77
0.45	0.31	2.71
-0.22	-0.15	2.77
0.01	-0.16	2.30
0.30	0.20	1.61
0.55	0.36	2.64
-0.05	-0.09	2.40
0.50	0.43	2.08
-0.04	-0.09	3.00
-0.17	-0.09	3.18
1.00	1.00	0.69
0.05	0.06	2.48
-0.42	-0.36	2.48
-0.34	-0.27	2.64
0.16	0.13	3.09
0.21	0.21	2.56
0.13	0.09	3.00
-0.07	-0.07	3.14
-0.19	-0.11	2.89
0.17	0.14	3.56
-0.05	0.07	2.08
0.80	0.60	1.61
0.04	0.05	3.47
0.28	0.20	2.89
-1.00	-1.00	0.69
0.31	0.24	3.22
0.35	0.24	2.89
0.44	0.29	2.30
-0.38	-0.21	2.08
-0.20	-0.12	2.71
-0.14	-0.13	3.18
0.32	0.14	1.95
-0.31	-0.22	2.71
-0.01	0.00	3.30
-0.02	0.04	3.14
-0.22	-0.14	3.61
0.51	0.37	3.22
0.36	0.23	3.50
0.13	0.07	2.30
0.53	0.39	3.09
0.19	0.20	2.40
0.29	0.16	2.40
0.00	-0.00	3.58
0.35	0.35	2.40
-0.08	-0.06	1.65
0.05	-0.02	2.94
-0.15	-0.09	2.40
0.08	0.08	3.14
0.15	0.09	3.22
-0.06	0.00	2.77
-0.28	-0.24	2.30
0.10	0.06	3.47
-0.18	-0.10	2.71
-0.06	-0.03	2.83
-0.05	-0.03	3.97
-0.53	-0.36	2.48
-0.32	-0.28	2.20
0.03	0.02	3.43
0.09	0.05	2.94
-0.18	-0.10	3.30
-0.12	-0.08	2.64
-0.52	-0.43	2.08
-0.51	-0.35	2.40
0.00	-0.05	2.71
0.03	0.02	3.43
-0.79	-0.57	2.08
0.37	0.24	2.83
-0.21	-0.12	3.22
0.18	0.10	2.77
-0.19	-0.21	2.08
-0.13	-0.11	3.14
-0.19	-0.14	3.00
0.11	0.09	3.30
0.43	0.29	2.89
0.23	0.15	3.26
0.14	0.07	2.08
-0.48	-0.39	2.20
0.33	0.27	2.64
0.46	0.29	3.37
-0.01	0.00	2.56
-0.30	-0.23	2.64
0.08	0.03	3.00
0.01	0.02	3.33
-0.29	-0.33	1.95
0.35	0.29	2.94
0.05	0.04	2.92
0.12	0.08	2.09
0.18	0.13	3.33
0.64	0.45	2.48
0.04	0.04	3.33
-0.36	-0.21	2.08
0.29	0.21	3.11
-0.03	-0.12	2.48
0.03	-0.07	1.79
0.16	0.13	0.09
0.65	0.56	2.40
-0.20	-0.20	1.61
0.03	-0.01	2.64
0.26	0.17	3.09
0.10	0.04	3.18
-0.38	-0.24	2.83
0.05	0.05	3.00
0.16	0.12	2.83
0.31	0.20	2.40
0.13	0.12	2.77
0.31	0.20	1.79
-0.19	-0.15	3.30
0.40	0.33	2.20
0.48	0.33	2.20
-0.13	-0.06	2.89
0.26	0.18	2.77
-0.09	-0.20	1.79
-0.08	-0.07	2.30
-0.01	-0.03	2.89
0.14	0.11	2.89
-0.05	0.00	2.48
-0.32	-0.22	2.71
0.67	0.50	2.20
-0.08	-0.02	3.00
0.09	0.10	2.71
-0.16	-0.08	2.64
0.21	0.15	3.33
-0.32	-0.28	2.89
0.03	0.05	3.26
-0.06	-0.08	2.64
0.18	0.13	2.56
0.10	0.10	2.64
-0.04	-0.00	3.14
0.04	0.05	1.95
0.30	0.20	2.40
0.36	0.24	2.71
-0.42	-0.31	2.89
0.14	0.07	2.08
0.05	0.01	3.04
0.27	0.18	2.77
0.36	0.24	2.89
0.39	0.27	2.48
0.36	0.21	2.08
0.09	0.07	1.79
-0.36	-0.24	2.71
0.38	0.28	2.20
0.18	0.12	3.76
-0.45	-0.32	2.83
0.46	0.37	2.71
-0.20	-0.12	3.26
0.23	0.12	2.64
-0.10	-0.06	3.33
0.27	0.18	3.53
0.09	0.07	3.40
0.01	0.00	3.14
-0.08	-0.05	3.04
0.02	-0.02	2.77
-0.40	-0.26	3.14
-0.11	-0.09	3.14
0.34	0.24	3.37
0.01	0.02	3.04
-0.20	-0.14	2.64
0.15	0.10	3.04
0.10	0.07	3.30
0.43	0.27	2.48
0.15	0.10	3.33
0.39	0.24	2.94
0.68	0.53	1.74
0.55	0.40	2.89
-0.12	-0.04	3.47
-0.07	-0.05	3.63
0.35	0.29	3.40
0.35	0.22	2.94
0.06	0.03	3.69
-0.23	-0.14	2.64
0.54	0.38	2.77
0.34	0.23	3.99
0.26	0.22	3.26
0.25	0.14	3.18
-0.43	-0.28	3.09
0.03	0.03	2.77
0.34	0.24	2.40
0.40	0.31	3.43
0.15	0.12	2.94
0.29	0.24	2.83
-0.26	-0.20	2.89
-0.04	-0.14	1.95
-0.12	-0.07	3.56
0.01	0.05	2.56
0.47	0.30	2.71
0.05	0.05	3.47
-0.05	-0.06	3.50
0.25	0.20	2.30
0.30	0.20	2.94
0.44	0.28	3.37
0.43	0.20	1.79
0.41	0.28	3.14
0.03	0.02	2.30
0.20	0.20	1.61
0.27	0.21	2.56
0.41	0.35	2.40
0.47	0.34	2.64
0.30	0.21	3.33
-0.22	-0.16	2.71
0.41	0.38	2.30
0.05	0.01	3.00
-0.25	-0.21	2.56
0.01	0.03	2.48
0.14	0.20	1.79
0.19	0.12	3.87
0.11	0.11	3.00
-0.12	-0.08	3.64
0.40	0.26	2.94
-0.07	-0.10	2.83
0.24	0.10	2.56
0.07	0.07	3.09
0.11	0.01	2.83
-0.16	-0.09	3.22
-0.26	-0.16	2.71
0.02	0.06	2.83
-0.37	-0.28	2.20
-0.43	-0.28	2.77
-0.34	-0.20	2.77
0.22	0.14	3.43
-0.08	-0.09	3.22
-0.34	-0.18	2.89
-0.36	-0.28	2.89
0.15	0.03	2.56
-0.28	-0.20	2.77
0.16	0.08	3.09
0.14	0.09	3.30
-0.10	-0.09	3.30
0.08	0.03	2.64
-0.01	0.01	3.47
-0.67	-0.44	2.20
0.42	0.31	3.00
0.54	0.38	2.56
0.27	0.18	3.43
0.28	0.17	3.00
-0.11	-0.10	1.06
-0.30	-0.20	2.40
-0.31	-0.20	1.79
-0.01	-0.02	3.33
-0.12	-0.09	3.18
0.29	0.17	3.09
0.15	0.10	2.89
0.29	0.23	2.56
-0.23	-0.17	3.22
-0.17	-0.14	2.64
0.03	-0.07	1.79
0.60	0.47	1.79
0.27	0.17	3.22
-0.11	-0.09	3.22
0.27	0.23	2.64
0.15	0.11	3.30
0.09	0.07	2.30
0.17	0.11	3.00
0.12	0.14	2.08
0.12	0.09	2.71
0.28	0.20	2.30
-0.11	-0.13	2.56
0.37	0.30	2.71
0.34	0.23	3.00
0.21	0.15	2.48
-0.54	-0.34	2.83
-0.28	-0.18	3.00
-0.24	-0.17	3.28
0.05	0.03	2.56
0.10	0.06	2.48
0.54	0.37	3.50
0.38	0.28	2.89
-0.09	-0.08	3.50
-0.11	-0.09	2.48
0.42	0.29	3.33
0.55	0.43	0.71
0.23	0.14	3.22
0.04	0.01	3.26
-0.00	-0.00	3.09
-0.02	-0.01	3.50
0.26	0.19	3.40
0.13	0.03	2.48
0.40	0.26	2.56
0.43	0.30	2.48
0.08	0.09	2.83
0.44	0.24	2.40
-0.66	-0.47	1.79
-0.18	-0.08	3.00
0.13	0.10	3.50
0.49	0.38	2.64
0.09	0.08	2.56
0.42	0.29	3.43
0.12	0.10	3.26
