Spearman	Kendall	MutualInformation
0.70	0.52	3.09
0.64	0.51	3.09
0.64	0.45	2.77
1.00	1.00	1.61
0.64	0.46	2.56
0.87	0.70	2.77
0.83	0.73	2.48
0.81	0.64	2.40
0.78	0.59	3.00
0.50	0.31	2.89
0.96	0.90	1.95
0.86	0.71	1.95
0.83	0.64	2.08
1.00	1.00	0.69
0.66	0.46	2.94
0.70	0.60	1.61
0.85	0.67	3.00
0.71	0.60	1.79
0.69	0.52	2.77
0.60	0.47	1.79
0.36	0.18	2.48
0.79	0.64	2.08
0.73	0.56	2.20
0.62	0.46	3.04
0.79	0.71	1.95
0.67	0.56	2.30
0.49	0.33	1.79
0.95	0.86	2.08
0.80	0.60	1.61
0.64	0.46	2.56
0.85	0.72	2.20
1.00	1.00	0.69
0.38	0.25	2.83
0.50	0.33	1.10
0.83	0.73	1.79
0.73	0.61	2.20
0.66	0.47	1.79
0.48	0.35	2.40
0.75	0.59	2.83
0.52	0.35	2.40
0.68	0.52	1.95
0.77	0.67	2.48
0.89	0.73	1.79
0.60	0.47	1.79
0.70	0.50	3.37
0.17	0.11	3.14
0.50	0.33	1.10
0.76	0.57	3.18
0.78	0.58	3.43
0.74	0.54	2.56
0.63	0.49	2.40
0.85	0.65	2.77
0.45	0.36	2.08
0.86	0.71	1.95
0.65	0.44	2.56
0.64	0.44	3.09
0.83	0.69	2.30
0.74	0.60	2.64
0.62	0.46	3.69
0.64	0.45	3.43
0.87	0.68	3.37
0.71	0.56	2.71
0.47	0.36	2.94
0.75	0.54	3.18
0.86	0.67	2.64
0.74	0.56	2.56
0.63	0.44	3.18
0.72	0.50	2.20
0.79	0.60	3.14
0.84	0.64	2.48
0.70	0.56	2.56
0.61	0.43	3.58
0.82	0.64	3.08
0.52	0.39	2.71
0.81	0.62	2.77
0.71	0.54	3.00
1.00	1.00	1.39
0.84	0.63	2.64
0.61	0.47	3.26
0.83	0.73	1.79
0.09	0.07	2.30
0.40	0.29	2.08
0.62	0.49	2.94
0.74	0.53	3.04
0.00	0.00	1.39
0.69	0.51	3.14
0.78	0.60	2.94
0.67	0.52	2.71
0.64	0.45	2.40
0.51	0.31	2.40
0.77	0.59	3.00
0.77	0.59	2.56
0.74	0.54	3.30
0.77	0.56	2.71
0.58	0.41	2.56
0.83	0.65	3.14
0.71	0.52	2.64
0.55	0.33	2.30
0.74	0.52	3.00
0.89	0.74	3.00
0.83	0.70	3.04
0.83	0.67	2.77
0.78	0.60	2.30
0.76	0.56	3.22
0.75	0.56	2.64
0.55	0.38	3.33
0.82	0.63	3.37
0.86	0.69	2.56
0.58	0.50	2.20
0.72	0.54	2.64
0.79	0.64	2.40
1.00	1.00	1.10
0.82	0.61	3.26
0.80	0.54	2.56
0.48	0.32	2.89
0.86	0.71	1.95
1.00	1.00	1.10
1.00	1.00	0.69
0.74	0.58	3.26
0.59	0.42	3.30
0.57	0.45	2.77
0.70	0.49	3.26
0.57	0.39	2.71
0.71	0.51	3.22
0.70	0.51	2.56
nan	nan	0.00
0.36	0.24	1.95
0.51	0.35	2.71
0.30	0.20	1.61
0.70	0.51	3.22
0.74	0.50	2.89
0.57	0.45	3.00
0.67	0.52	2.64
0.80	0.67	1.39
0.64	0.44	3.04
0.80	0.63	2.94
0.34	0.18	2.48
0.83	0.68	3.18
0.63	0.45	2.64
0.89	0.75	2.89
1.00	1.00	1.10
0.81	0.65	3.00
0.82	0.67	2.64
0.90	0.76	2.48
0.84	0.66	2.94
0.79	0.52	1.95
0.80	0.58	3.30
0.69	0.49	2.40
0.72	0.50	2.89
0.64	0.50	2.08
0.80	0.62	2.77
0.56	0.40	2.77
0.90	0.72	2.83
