Spearman	Kendall	MutualInformation
-0.20	-0.12	3.09
-0.23	-0.13	3.09
0.44	0.30	2.77
0.00	-0.20	1.61
0.27	0.23	2.56
0.45	0.30	2.77
0.21	0.15	2.48
0.19	0.09	2.40
0.01	0.00	3.00
0.21	0.10	2.89
0.89	0.81	1.95
-0.07	-0.14	1.95
0.43	0.36	2.08
1.00	1.00	0.69
0.11	0.09	2.94
0.10	0.00	1.61
0.06	0.04	3.00
-0.14	-0.07	1.79
0.57	0.43	2.77
0.83	0.60	1.79
-0.37	-0.30	2.48
0.33	0.21	2.08
-0.40	-0.28	2.20
0.47	0.35	3.04
0.00	0.05	1.95
-0.10	-0.11	2.30
0.14	0.07	1.79
-0.40	-0.21	2.08
0.80	0.60	1.61
-0.20	-0.10	2.56
-0.03	-0.06	2.20
1.00	1.00	0.69
0.24	0.19	2.83
0.50	0.33	1.10
0.54	0.47	1.79
0.17	0.17	2.20
-0.09	-0.20	1.79
-0.17	-0.20	2.40
0.41	0.34	2.83
0.17	0.09	2.40
-0.11	-0.14	1.95
0.51	0.42	2.48
-0.26	-0.20	1.79
0.09	0.07	1.79
0.10	0.07	3.37
0.22	0.17	3.14
-0.50	-0.33	1.10
-0.18	-0.14	3.18
-0.10	-0.11	3.43
0.32	0.21	2.56
0.15	0.13	2.40
-0.38	-0.25	2.77
-0.45	-0.29	2.08
-0.29	-0.14	1.95
0.36	0.23	2.56
-0.13	-0.08	3.09
0.52	0.33	2.30
-0.05	-0.08	2.64
-0.04	-0.04	3.69
0.18	0.14	3.43
0.34	0.25	3.37
0.19	0.10	2.71
0.11	0.08	2.94
0.19	0.14	3.18
0.30	0.21	2.64
-0.61	-0.33	2.56
0.28	0.20	3.18
-0.12	0.00	2.20
0.20	0.19	3.14
-0.01	0.00	2.48
-0.13	-0.08	2.56
0.21	0.15	3.58
0.31	0.21	3.08
0.10	0.05	2.71
-0.14	-0.03	2.77
-0.08	-0.08	3.00
0.40	0.33	1.39
0.05	0.01	2.64
-0.25	-0.19	3.26
0.20	0.07	1.79
0.47	0.33	2.30
0.07	0.07	2.08
-0.05	-0.02	2.94
0.30	0.21	3.04
-1.00	-1.00	1.39
-0.06	-0.04	3.14
0.25	0.16	2.94
0.42	0.30	2.71
0.35	0.35	2.40
-0.38	-0.31	2.40
-0.16	-0.08	3.00
0.34	0.26	2.56
-0.13	-0.08	3.30
0.27	0.18	2.71
0.45	0.26	2.56
0.48	0.38	3.14
-0.55	-0.38	2.64
-0.02	-0.02	2.30
0.01	0.00	3.00
0.39	0.26	3.00
0.19	0.14	3.04
-0.18	-0.10	2.77
0.12	0.07	2.30
-0.16	-0.11	3.22
-0.32	-0.25	2.64
-0.12	-0.07	3.33
0.19	0.13	3.37
-0.07	-0.08	2.56
-0.15	-0.17	2.20
0.44	0.27	2.64
-0.31	-0.27	2.40
