Spearman	Kendall	MutualInformation
0.66	0.44	3.09
0.49	0.36	3.09
0.69	0.47	2.77
0.90	0.80	1.61
0.52	0.36	2.56
0.78	0.63	2.77
0.81	0.70	2.48
0.81	0.64	2.40
0.51	0.39	3.00
0.51	0.32	2.89
0.89	0.81	1.95
0.93	0.81	1.95
0.76	0.57	2.08
-1.00	-1.00	0.69
0.71	0.53	2.94
0.70	0.60	1.61
0.67	0.46	3.00
0.66	0.60	1.79
0.71	0.57	2.77
0.14	0.07	1.79
0.37	0.18	2.48
0.57	0.50	2.08
0.68	0.50	2.20
0.66	0.48	3.04
0.32	0.33	1.95
0.79	0.64	2.30
0.09	0.07	1.79
0.88	0.71	2.08
0.80	0.60	1.61
0.73	0.51	2.56
0.78	0.61	2.20
1.00	1.00	0.69
0.50	0.37	2.83
0.50	0.33	1.10
0.83	0.73	1.79
0.70	0.61	2.20
0.43	0.33	1.79
0.34	0.24	2.40
0.81	0.71	2.83
0.51	0.38	2.40
0.71	0.52	1.95
0.73	0.58	2.48
0.89	0.73	1.79
0.60	0.47	1.79
0.56	0.39	3.37
0.16	0.11	3.14
0.50	0.33	1.10
0.67	0.41	3.18
0.77	0.60	3.43
0.70	0.49	2.56
0.58	0.42	2.40
0.77	0.55	2.77
-0.02	-0.07	2.08
0.79	0.62	1.95
0.61	0.38	2.56
0.65	0.45	3.09
0.75	0.60	2.30
0.61	0.43	2.64
0.60	0.44	3.69
0.71	0.51	3.43
0.86	0.67	3.37
0.66	0.50	2.71
0.66	0.47	2.94
0.74	0.54	3.18
0.69	0.52	2.64
0.68	0.49	2.56
0.79	0.64	3.18
0.60	0.44	2.20
0.77	0.60	3.14
0.87	0.73	2.48
0.76	0.64	2.56
0.73	0.53	3.58
0.76	0.55	3.08
0.74	0.58	2.71
0.81	0.62	2.77
0.60	0.46	3.00
1.00	1.00	1.39
0.61	0.45	2.64
0.66	0.51	3.26
0.83	0.73	1.79
0.19	0.16	2.30
0.43	0.29	2.08
0.70	0.52	2.94
0.75	0.51	3.04
-0.20	0.00	1.39
0.68	0.50	3.14
0.68	0.49	2.94
0.78	0.62	2.71
0.90	0.75	2.40
0.50	0.35	2.40
0.69	0.54	3.00
0.76	0.59	2.56
0.68	0.46	3.30
0.67	0.47	2.71
0.69	0.51	2.56
0.75	0.54	3.14
0.71	0.47	2.64
0.79	0.60	2.30
0.77	0.58	3.00
0.86	0.75	3.00
0.76	0.60	3.04
0.74	0.57	2.77
0.48	0.16	2.30
0.80	0.62	3.22
0.57	0.38	2.64
0.46	0.30	3.33
0.88	0.69	3.37
0.88	0.74	2.56
0.50	0.39	2.20
0.69	0.52	2.64
0.59	0.53	2.40
1.00	1.00	1.10
0.77	0.56	3.26
0.77	0.49	2.56
0.49	0.35	2.89
0.68	0.52	1.95
1.00	1.00	1.10
-1.00	-1.00	0.69
0.46	0.31	3.26
