Spearman	Kendall	MutualInformation
-0.03	-0.03	3.22
0.29	0.21	3.74
0.08	0.05	3.09
0.11	0.05	1.95
-0.12	-0.14	2.08
0.23	0.12	2.64
0.06	0.06	3.00
-0.04	-0.05	2.77
-0.60	-0.40	1.61
0.33	0.24	2.48
0.16	0.09	2.40
0.64	0.44	2.94
0.60	0.45	2.71
0.54	0.33	1.79
0.17	0.16	2.40
-0.14	-0.24	1.95
-0.08	-0.07	3.74
-0.50	-0.33	1.95
-0.13	-0.12	2.83
0.26	0.20	1.79
0.44	0.36	2.48
0.50	0.20	1.61
-0.24	-0.16	2.30
0.10	0.08	3.30
0.18	0.09	2.48
0.41	0.28	2.77
0.52	0.43	2.08
-0.40	-0.33	1.39
-0.47	-0.30	2.77
-0.01	0.00	2.48
0.21	0.14	1.95
-0.50	-0.33	1.10
-0.22	-0.20	2.30
-0.01	-0.02	2.40
0.27	0.14	3.04
-0.42	-0.28	2.71
0.00	0.02	2.40
-0.25	-0.17	3.43
0.30	0.23	3.14
-0.32	-0.23	3.04
0.43	0.29	3.26
-0.12	-0.09	3.22
-0.30	-0.20	1.61
-0.18	-0.10	3.37
0.42	0.26	2.94
-0.50	-0.40	1.61
1.00	1.00	0.69
0.14	0.16	2.40
0.14	0.05	1.95
0.12	0.11	2.20
-0.05	0.07	2.08
-0.11	-0.08	2.94
0.17	0.15	2.89
0.52	0.35	3.58
0.25	0.16	2.71
0.46	0.29	3.37
0.01	0.03	3.30
-0.33	-0.23	3.14
-0.53	-0.33	2.30
-0.45	-0.30	2.48
0.51	0.37	3.00
0.28	0.11	2.20
0.49	0.33	1.79
0.36	0.33	1.95
0.06	0.06	3.09
0.28	0.19	3.14
-0.28	-0.17	2.20
0.80	0.67	1.39
0.16	0.16	2.30
0.24	0.24	2.48
0.80	0.67	1.39
0.07	0.05	1.95
0.35	0.21	2.83
0.23	0.13	3.09
0.59	0.45	2.71
0.36	0.33	1.95
-0.49	-0.33	1.79
0.10	0.07	2.30
-0.02	-0.01	2.71
0.26	0.29	2.30
-0.80	-0.67	1.39
0.18	0.24	1.95
0.41	0.26	3.04
-0.22	-0.16	3.42
-0.06	-0.03	2.94
0.05	0.04	3.14
0.26	0.17	3.09
0.15	0.10	2.64
-0.43	-0.26	2.94
-0.60	-0.47	1.79
-0.14	-0.11	2.30
-0.14	-0.07	1.79
0.24	0.21	2.08
0.54	0.20	2.40
-0.08	-0.01	2.83
-0.50	-0.20	1.61
0.07	0.02	2.94
0.04	-0.01	3.04
-0.20	-0.12	3.37
-0.20	-0.20	1.61
0.20	0.11	3.00
-0.02	-0.08	2.77
0.50	0.39	3.30
-0.12	-0.07	3.00
0.32	0.14	1.95
0.04	0.01	2.64
0.36	0.25	3.18
0.47	0.31	3.40
-0.12	-0.14	2.08
-0.90	-0.80	1.61
-0.14	-0.07	2.08
-0.36	-0.29	2.08
0.04	0.05	2.56
0.12	0.11	2.20
0.02	0.02	2.77
-0.27	-0.18	2.83
0.42	0.28	2.20
-0.19	-0.21	2.08
-0.25	-0.11	2.20
0.05	-0.02	2.77
-0.01	0.01	3.00
0.07	0.07	2.08
0.26	0.20	2.94
-0.38	-0.23	2.64
-0.08	-0.08	3.04
0.43	0.33	1.95
0.00	0.03	2.48
0.19	0.19	2.64
-0.50	-0.33	1.10
-0.41	-0.32	2.64
-0.60	-0.33	1.39
0.49	0.33	1.79
0.33	0.23	3.64
0.07	0.07	2.30
0.20	0.07	1.79
-0.25	-0.16	2.71
0.36	0.26	3.30
-1.00	-1.00	1.10
0.03	-0.07	1.79
-0.01	0.01	3.04
0.43	0.29	2.08
0.18	0.17	2.20
0.33	0.20	2.77
0.71	0.60	1.79
-0.80	-0.60	1.61
0.11	0.04	3.14
-0.09	-0.15	2.48
-0.08	-0.07	3.18
-0.02	0.06	2.20
-0.26	-0.20	1.79
-0.06	-0.05	3.30
0.06	0.03	2.94
0.40	0.33	1.39
0.26	0.25	3.33
-0.04	-0.14	1.95
0.21	0.16	2.64
-0.50	-0.43	1.95
0.16	0.13	3.04
0.01	-0.02	3.50
0.74	0.59	2.56
-0.40	-0.28	2.20
-0.35	-0.27	2.89
-0.12	-0.07	3.14
-0.55	-0.36	2.08
0.10	0.10	3.09
0.66	0.47	3.09
0.19	0.15	2.94
-0.03	0.00	2.20
-0.21	-0.09	2.48
0.12	0.15	2.56
0.12	0.11	2.30
0.30	0.20	1.61
-0.45	-0.29	2.30
-0.33	-0.21	2.08
-0.00	0.01	2.64
0.50	0.40	1.61
-0.21	-0.14	2.89
-0.20	-0.20	1.61
-0.04	-0.08	2.64
0.04	0.02	2.30
-0.27	-0.16	3.18
0.44	0.31	2.40
-0.02	-0.01	2.94
0.10	0.00	1.61
0.16	0.14	3.53
0.04	0.05	1.95
-0.41	-0.29	2.83
0.03	0.03	3.26
0.19	0.14	2.08
-0.04	-0.05	3.74
-0.31	-0.20	1.79
0.33	0.21	3.22
0.06	0.05	3.26
0.02	-0.02	2.30
0.21	0.14	2.64
-0.16	-0.12	2.71
-0.31	-0.19	3.26
0.20	0.17	3.04
0.60	0.33	1.39
-0.50	-0.20	1.61
-0.56	-0.38	2.30
0.11	0.08	3.04
0.30	0.20	2.71
0.40	0.28	2.20
0.15	0.10	2.94
0.57	0.44	2.83
-0.49	-0.33	1.79
0.02	0.00	3.37
0.00	0.05	1.95
0.54	0.47	1.79
0.25	0.13	2.56
0.14	0.09	3.58
0.20	0.15	3.00
0.23	0.18	2.89
0.80	0.67	1.39
0.52	0.33	2.20
0.24	0.15	2.77
-0.04	-0.03	3.30
0.04	0.01	2.94
-0.22	-0.11	2.30
1.00	1.00	0.69
-0.85	-0.71	2.40
0.21	0.13	2.40
-0.16	-0.10	2.64
0.21	0.16	3.69
-0.14	-0.14	2.08
-0.09	0.07	1.79
0.40	0.33	1.39
0.40	0.36	2.08
-0.05	-0.02	2.40
0.25	0.16	3.64
0.00	0.00	1.39
-0.40	-0.40	1.61
0.80	0.67	1.39
-0.50	-0.33	1.10
1.00	1.00	1.39
0.04	0.03	2.64
0.60	0.42	2.48
-0.11	-0.05	1.95
-0.03	-0.07	2.30
0.33	0.29	2.08
0.06	0.02	3.04
0.12	0.10	2.71
0.02	0.00	2.08
0.35	0.28	2.83
0.55	0.39	2.48
-0.36	-0.24	1.95
0.05	0.07	2.08
-0.15	-0.16	2.71
0.60	0.48	3.09
0.06	0.05	2.40
-0.50	-0.33	1.10
0.37	0.26	3.00
-0.13	-0.07	3.71
0.55	0.50	2.20
0.40	0.28	2.20
0.55	0.42	2.48
0.03	0.05	2.64
0.07	0.05	3.58
-0.10	0.00	1.61
0.27	0.22	2.20
0.12	0.06	2.94
0.03	0.03	2.48
0.19	0.16	2.94
-0.42	-0.17	2.20
-0.33	-0.31	2.40
0.07	0.06	2.20
0.05	0.09	3.14
-0.08	-0.05	3.47
-0.01	0.01	3.26
0.43	0.20	1.79
0.43	0.31	2.56
-0.16	-0.10	3.26
-0.48	-0.34	2.64
0.37	0.27	2.64
-0.29	-0.14	1.95
-0.36	-0.24	2.71
0.31	0.24	2.30
0.61	0.43	1.95
-0.20	-0.20	1.61
0.19	0.20	2.40
0.32	0.24	1.95
0.55	0.39	2.89
0.33	0.21	2.08
-0.27	-0.24	2.30
0.21	0.14	1.95
0.50	0.49	2.40
-0.10	-0.12	3.00
0.25	0.17	3.09
0.09	0.05	2.40
0.24	0.18	2.89
0.26	0.20	3.04
0.80	0.67	1.39
-1.00	-1.00	0.69
-0.30	-0.20	1.61
0.14	0.05	1.95
0.40	0.33	1.39
0.26	0.20	1.79
0.68	0.52	1.95
-1.00	-1.00	1.10
-0.54	-0.33	1.95
0.25	0.20	2.40
0.87	0.69	2.30
-0.46	-0.33	2.48
0.42	0.30	2.64
-0.50	-0.33	1.10
0.41	0.29	3.22
0.62	0.42	2.30
0.26	0.16	2.64
0.71	0.52	1.95
0.32	0.21	3.04
0.37	0.20	1.79
0.94	0.87	1.79
0.17	0.12	3.04
0.80	0.67	1.39
0.21	0.14	1.95
0.05	0.05	2.89
0.19	0.15	2.94
0.34	0.23	3.22
0.29	0.22	2.94
0.44	0.32	2.94
0.17	0.13	3.09
0.10	0.00	1.61
0.30	0.24	2.30
0.28	0.20	3.43
0.05	0.03	3.87
-0.21	-0.14	2.08
0.42	0.32	2.64
-0.10	-0.14	2.08
-0.21	-0.21	2.08
0.28	0.17	2.20
0.35	0.28	2.20
1.00	1.00	1.10
0.70	0.60	1.61
0.17	0.11	2.20
0.42	0.28	2.77
-0.62	-0.43	2.08
0.19	0.14	3.00
0.52	0.38	2.56
0.15	0.13	2.40
0.23	0.20	2.71
0.19	0.10	3.18
0.10	0.05	3.37
-0.20	-0.07	1.79
0.31	0.20	2.40
-0.00	-0.01	3.50
-0.24	-0.14	2.08
0.29	0.19	2.94
0.16	0.09	3.93
0.32	0.14	2.64
0.60	0.40	1.61
0.17	0.10	2.94
0.14	0.10	2.77
0.13	0.09	2.48
-0.13	-0.12	2.48
-0.57	-0.42	2.40
-0.37	-0.33	1.79
0.35	0.23	3.04
0.02	0.00	3.18
-0.32	-0.28	2.20
0.35	0.24	3.04
0.23	0.16	3.83
0.39	0.29	3.43
-0.02	0.00	2.20
0.36	0.26	2.71
0.46	0.35	2.83
0.12	0.08	2.56
-0.30	-0.28	2.20
0.50	0.33	1.10
-0.54	-0.45	2.64
0.45	0.29	2.89
0.00	0.00	1.61
0.06	0.04	3.18
-0.12	-0.07	2.71
-0.00	0.00	3.83
0.08	0.11	2.30
0.70	0.60	1.61
0.09	0.07	3.04
0.35	0.24	2.94
-0.25	-0.16	2.40
0.29	0.26	2.71
0.47	0.33	3.09
0.02	0.04	2.83
0.22	0.16	2.71
0.33	0.24	2.30
0.22	0.18	2.48
0.30	0.20	3.30
