Spearman	Kendall	MutualInformation
0.25	0.16	2.94
-0.01	-0.03	3.09
-0.24	-0.17	3.00
0.29	0.24	2.40
0.01	0.00	3.66
0.46	0.29	3.30
0.45	0.33	3.76
0.18	0.13	3.71
0.34	0.21	3.09
0.24	0.17	3.64
0.80	0.67	1.39
1.00	1.00	0.69
0.60	0.40	1.61
0.21	0.14	1.95
0.80	0.67	1.39
0.09	0.07	1.79
0.29	0.24	1.95
1.00	1.00	1.10
0.71	0.52	2.64
-0.03	-0.03	3.22
0.28	0.20	3.37
0.33	0.29	2.30
0.31	0.20	1.79
0.37	0.33	1.79
0.61	0.43	1.95
0.20	0.00	1.39
-0.21	-0.18	2.94
0.45	0.42	2.40
-0.14	-0.12	2.48
0.17	0.11	2.94
0.15	0.10	2.94
0.14	0.10	3.71
0.24	0.18	3.09
0.50	0.20	1.61
0.16	0.24	2.30
-0.03	-0.04	3.43
-0.08	-0.08	2.64
0.17	0.07	2.08
0.05	0.00	2.20
-0.20	-0.17	2.20
0.50	0.33	1.10
-0.33	-0.20	3.18
0.11	0.07	2.77
-0.10	-0.03	2.77
-0.14	-0.11	2.94
0.05	0.05	2.40
-0.37	-0.30	2.71
-0.01	0.02	3.18
-0.06	-0.03	3.56
-0.08	-0.06	3.37
0.54	0.35	2.40
0.08	0.06	3.30
0.10	0.00	1.61
-0.11	-0.08	2.64
0.10	0.07	2.08
-0.07	-0.07	2.77
0.11	0.06	2.48
0.39	0.27	3.04
0.09	0.08	3.43
0.07	0.17	2.20
0.61	0.45	2.71
-0.01	-0.03	3.26
0.31	0.22	3.18
0.13	0.10	3.18
1.00	1.00	1.10
0.50	0.40	1.61
0.24	0.17	3.18
0.19	0.11	2.30
0.60	0.40	1.61
0.07	0.09	3.04
-0.35	-0.22	2.20
0.01	0.01	2.71
0.67	0.52	3.09
-0.05	-0.04	3.18
0.02	-0.07	2.30
0.29	0.18	3.30
