Spearman	Kendall	MutualInformation
0.38	0.27	2.94
-0.18	-0.13	3.09
0.18	0.13	3.00
0.47	0.31	2.40
-0.12	-0.06	3.66
0.44	0.28	3.30
0.35	0.24	3.76
0.17	0.16	3.71
0.31	0.17	3.09
0.19	0.12	3.64
0.40	0.33	1.39
1.00	1.00	0.69
0.20	0.20	1.61
0.64	0.43	1.95
0.40	0.33	1.39
0.54	0.20	1.79
-0.11	-0.14	1.95
1.00	1.00	1.10
0.43	0.36	2.64
0.06	0.09	3.22
0.28	0.20	3.37
0.04	0.07	2.30
0.14	0.07	1.79
0.14	0.07	1.79
0.21	0.14	1.95
-0.40	-0.33	1.39
0.03	-0.02	2.94
0.37	0.31	2.40
0.34	0.24	2.48
-0.10	-0.04	2.94
0.38	0.29	2.94
-0.02	-0.02	3.71
0.26	0.16	3.09
0.30	0.20	1.61
-0.18	-0.11	2.30
0.03	0.02	3.43
-0.56	-0.36	2.64
-0.12	-0.07	2.08
0.15	0.11	2.20
-0.17	-0.17	2.20
-0.50	-0.33	1.10
-0.37	-0.24	3.18
0.06	0.02	2.77
-0.34	-0.22	2.77
0.02	0.06	2.94
-0.04	0.02	2.40
-0.11	-0.05	2.71
0.05	0.02	3.18
-0.20	-0.12	3.56
-0.01	-0.02	3.37
0.22	0.16	2.40
0.09	0.04	3.30
0.40	0.40	1.61
-0.22	-0.16	2.64
-0.26	-0.21	2.08
0.29	0.22	2.77
0.24	0.18	2.48
-0.23	-0.12	3.04
0.10	0.07	3.43
-0.77	-0.61	2.20
0.52	0.35	2.71
0.03	-0.01	3.26
0.24	0.24	3.18
-0.32	-0.22	3.18
0.50	0.33	1.10
-0.10	0.00	1.61
0.05	0.04	3.18
-0.03	-0.02	2.30
-0.10	0.00	1.61
0.11	0.10	3.04
-0.57	-0.39	2.20
-0.30	-0.20	2.71
0.33	0.23	3.09
-0.17	-0.13	3.18
-0.32	-0.24	2.30
0.18	0.09	3.30
