Spearman	Kendall	MutualInformation
0.44	0.29	3.09
0.66	0.50	3.40
0.69	0.53	2.40
0.74	0.51	2.83
0.63	0.48	3.22
0.37	0.26	3.14
0.59	0.38	2.30
0.24	0.21	2.08
0.68	0.53	2.83
0.58	0.49	2.64
0.66	0.50	3.14
0.48	0.33	2.56
0.60	0.47	1.79
1.00	1.00	0.69
0.68	0.56	2.20
0.52	0.39	2.20
0.72	0.52	3.22
0.65	0.45	2.40
0.79	0.61	3.26
0.75	0.54	2.64
0.63	0.49	2.64
0.51	0.37	3.74
0.71	0.53	3.47
0.43	0.29	2.08
0.66	0.48	3.37
0.69	0.53	3.09
0.59	0.44	3.78
0.62	0.44	3.58
0.66	0.49	2.64
0.82	0.62	1.95
0.60	0.42	2.48
0.50	0.33	1.10
0.90	0.79	2.08
0.71	0.57	2.08
1.00	1.00	0.69
0.47	0.27	2.48
0.40	0.40	1.61
0.50	0.33	1.10
0.75	0.52	3.26
0.52	0.38	2.30
0.44	0.21	2.64
0.13	0.08	3.00
1.00	1.00	0.69
0.83	0.67	2.40
0.47	0.33	2.20
0.51	0.33	3.18
0.76	0.61	2.48
0.52	0.38	2.77
0.73	0.61	2.20
1.00	1.00	0.69
0.37	0.28	2.77
0.69	0.49	3.09
0.79	0.60	2.64
0.79	0.61	2.48
0.80	0.60	1.61
0.30	0.20	1.61
0.69	0.51	3.04
0.58	0.50	2.20
0.59	0.42	3.61
0.37	0.28	2.20
0.36	0.25	2.94
0.10	0.07	2.08
0.28	0.15	2.48
0.52	0.33	2.71
0.32	0.24	1.95
0.59	0.45	2.77
0.61	0.45	2.64
0.56	0.33	2.30
0.55	0.44	2.20
0.72	0.56	2.20
0.40	0.33	1.39
0.77	0.66	3.00
0.78	0.64	2.56
0.34	0.23	2.77
0.86	0.71	2.40
0.47	0.33	2.77
0.73	0.54	2.94
0.60	0.40	1.61
0.53	0.39	2.20
0.48	0.27	2.48
0.63	0.48	3.47
0.69	0.56	2.40
0.50	0.40	1.61
-0.80	-0.60	1.61
0.80	0.67	1.39
-0.50	-0.33	1.10
0.66	0.47	2.64
0.50	0.33	1.10
-1.00	-1.00	0.69
0.40	0.33	1.39
-0.09	-0.07	1.79
0.80	0.67	1.39
0.70	0.53	2.40
0.55	0.39	2.20
0.72	0.61	2.20
0.40	0.33	1.39
0.26	0.23	2.64
0.78	0.59	2.94
0.67	0.46	2.83
0.50	0.40	1.61
0.39	0.20	2.30
0.68	0.50	4.22
0.40	0.40	1.61
0.56	0.39	3.43
0.51	0.37	3.09
0.85	0.67	3.40
0.60	0.43	2.71
0.27	0.20	3.18
0.58	0.44	2.20
0.61	0.42	2.30
0.71	0.53	2.77
0.66	0.47	1.79
0.69	0.52	2.77
-0.71	-0.60	1.79
0.89	0.73	1.79
0.65	0.44	3.33
0.87	0.75	2.40
0.60	0.40	1.61
0.32	0.23	2.77
0.20	0.00	1.39
0.74	0.50	2.08
0.36	0.14	1.95
0.54	0.38	2.30
0.38	0.30	2.48
0.76	0.57	2.08
0.70	0.52	3.00
0.68	0.52	1.95
0.70	0.49	2.71
0.56	0.41	2.71
0.78	0.57	2.77
0.89	0.81	1.95
0.62	0.44	2.94
0.75	0.60	2.30
-0.21	-0.33	1.95
0.78	0.62	3.74
0.68	0.46	2.56
0.86	0.71	1.95
0.66	0.48	3.22
0.39	0.27	3.26
-0.07	-0.14	1.95
-0.20	-0.17	2.20
0.54	0.43	1.95
-0.80	-0.67	1.39
0.57	0.41	2.71
0.50	0.33	1.10
0.60	0.40	1.61
0.20	0.00	1.39
0.40	0.33	1.39
1.00	1.00	1.10
1.00	1.00	0.69
0.57	0.38	2.40
0.50	0.33	1.10
1.00	1.00	1.10
-0.14	-0.20	1.79
0.30	0.28	2.20
0.69	0.50	2.83
0.77	0.60	1.79
0.87	0.71	2.71
0.59	0.45	2.48
0.70	0.52	2.48
0.40	0.36	2.08
0.60	0.40	1.61
0.90	0.80	1.61
1.00	1.00	1.10
1.00	1.00	1.39
0.61	0.45	2.40
0.71	0.45	2.48
1.00	1.00	0.69
0.60	0.40	1.61
-1.00	-1.00	0.69
0.50	0.39	3.33
0.40	0.33	1.39
0.82	0.64	2.30
0.10	0.00	1.61
0.45	0.31	2.40
0.54	0.33	1.95
0.70	0.60	1.61
0.94	0.87	1.79
0.89	0.73	1.79
0.60	0.40	1.61
0.89	0.72	3.33
0.90	0.79	2.08
0.49	0.33	2.56
0.50	0.33	1.10
0.50	0.40	1.61
0.31	0.20	1.79
0.20	0.07	1.79
1.00	1.00	1.10
0.44	0.24	2.30
0.37	0.33	1.79
0.62	0.45	3.30
0.41	0.35	2.40
0.57	0.42	3.14
0.61	0.52	1.95
0.10	0.00	1.61
0.60	0.33	1.39
0.03	0.07	1.79
1.00	1.00	0.69
1.00	1.00	1.10
0.21	0.14	2.08
0.50	0.33	2.30
0.84	0.73	2.30
0.43	0.33	1.79
1.00	1.00	1.10
0.66	0.47	1.79
1.00	1.00	1.10
0.50	0.33	1.10
0.58	0.48	2.48
0.03	0.00	2.20
1.00	1.00	1.10
0.40	0.33	1.39
0.49	0.34	2.64
-1.00	-1.00	1.10
0.69	0.49	3.58
0.70	0.60	1.61
-0.77	-0.60	1.79
0.80	0.67	1.39
0.81	0.60	2.30
0.30	0.22	2.20
0.35	0.24	2.48
0.54	0.41	3.04
0.78	0.58	3.33
0.57	0.38	2.56
0.41	0.29	3.18
0.74	0.55	2.77
0.70	0.51	3.04
0.33	0.20	2.30
0.86	0.71	2.08
0.56	0.38	3.37
-0.14	-0.05	1.95
0.87	0.69	2.64
0.55	0.40	2.77
0.77	0.58	2.77
0.82	0.69	2.89
0.73	0.55	3.50
0.20	0.15	2.48
0.78	0.61	2.48
0.52	0.38	2.40
0.70	0.61	2.20
0.86	0.71	2.08
1.00	1.00	0.69
0.80	0.67	2.20
1.00	1.00	0.69
0.79	0.61	2.48
0.73	0.51	2.30
0.42	0.29	2.30
0.63	0.44	2.20
-1.00	-1.00	1.10
-1.00	-1.00	0.69
0.65	0.47	2.71
0.43	0.28	2.20
-0.07	-0.05	1.95
0.54	0.37	2.83
0.46	0.35	2.94
0.35	0.28	2.20
0.83	0.64	2.08
-0.19	-0.09	2.40
-0.20	0.00	1.39
0.63	0.52	2.64
0.27	0.21	2.64
0.80	0.67	1.39
0.43	0.36	2.64
0.50	0.33	1.10
0.77	0.60	1.79
1.00	1.00	1.61
0.83	0.71	2.08
-0.50	-0.33	1.10
0.50	0.33	1.10
1.00	1.00	0.69
0.42	0.33	2.20
0.59	0.42	2.77
0.80	0.69	2.64
0.40	0.36	2.08
0.70	0.60	1.61
0.40	0.33	1.39
0.00	0.00	1.39
-0.30	-0.20	1.61
0.76	0.60	2.64
-0.20	-0.20	1.61
0.50	0.33	1.10
0.80	0.60	1.61
0.11	0.05	1.95
0.85	0.69	2.83
-0.05	0.00	2.08
0.60	0.47	2.30
0.47	0.35	2.83
0.90	0.79	2.08
0.40	0.33	1.39
0.62	0.47	2.30
0.48	0.33	2.30
0.20	0.00	1.39
0.51	0.36	2.89
0.40	0.33	1.39
0.62	0.51	2.83
0.57	0.43	1.95
0.31	0.20	1.79
0.88	0.79	2.48
0.40	0.33	1.39
0.72	0.49	3.56
0.54	0.43	2.64
0.52	0.36	2.48
0.30	0.20	1.61
0.70	0.60	1.61
0.59	0.46	2.56
0.55	0.42	2.77
0.66	0.45	2.48
0.82	0.62	1.95
1.00	1.00	1.61
0.68	0.52	1.95
0.65	0.50	2.71
0.62	0.45	3.14
0.50	0.32	3.33
0.50	0.33	1.95
1.00	1.00	1.10
0.80	0.67	1.39
0.80	0.67	1.39
0.09	0.07	1.79
0.53	0.41	3.43
0.80	0.67	1.39
0.43	0.31	2.40
0.40	0.33	1.39
0.20	0.00	1.39
0.48	0.33	2.89
0.50	0.41	2.56
-0.40	-0.33	1.39
0.03	0.03	2.77
0.50	0.40	1.61
0.37	0.25	2.64
0.90	0.80	1.61
0.59	0.42	2.40
0.20	0.20	1.61
0.72	0.56	2.20
0.64	0.50	2.71
0.70	0.60	1.61
-0.15	-0.11	2.30
0.62	0.50	2.08
0.87	0.71	2.40
0.65	0.53	2.40
0.82	0.61	2.20
0.24	0.12	2.48
0.63	0.47	3.04
0.69	0.50	2.71
0.61	0.43	3.85
0.78	0.59	3.22
0.34	0.23	3.30
0.68	0.52	2.48
0.32	0.24	1.95
0.31	0.20	1.79
0.66	0.48	3.47
0.78	0.58	3.04
0.70	0.54	2.56
0.60	0.36	2.08
0.54	0.47	1.79
0.73	0.53	3.22
0.69	0.52	2.94
0.76	0.58	3.14
0.59	0.35	2.40
0.49	0.38	2.30
0.35	0.25	3.40
0.50	0.34	3.09
0.73	0.56	2.20
0.39	0.24	1.95
1.00	1.00	1.10
0.63	0.39	2.20
0.52	0.33	2.56
0.78	0.59	3.53
0.56	0.39	3.43
0.63	0.45	3.22
0.68	0.49	3.14
0.30	0.20	1.61
0.70	0.51	2.30
-0.40	-0.21	2.08
0.30	0.20	1.61
0.60	0.44	2.20
0.79	0.60	3.04
0.17	0.13	2.83
0.77	0.60	1.79
0.56	0.36	3.04
0.20	0.20	1.61
0.26	0.24	2.30
0.40	0.33	1.39
1.00	1.00	1.10
0.77	0.59	2.56
0.76	0.56	2.71
0.83	0.65	2.64
0.53	0.39	2.20
0.64	0.45	3.43
0.65	0.41	2.56
-0.48	-0.36	2.08
0.40	0.33	1.39
-1.00	-1.00	0.69
0.07	0.07	2.08
0.56	0.36	3.26
0.33	0.20	2.30
0.54	0.42	2.40
0.50	0.40	2.83
0.70	0.48	3.22
1.00	1.00	0.69
0.80	0.67	1.39
0.14	0.07	1.79
0.21	0.14	2.08
0.53	0.35	2.71
0.52	0.39	3.00
0.37	0.33	1.79
0.10	0.00	1.61
-1.00	-1.00	0.69
0.75	0.52	1.95
0.35	0.24	2.40
0.82	0.67	2.56
0.39	0.27	2.77
0.54	0.40	3.26
0.64	0.44	3.22
0.54	0.35	2.77
0.51	0.29	3.09
0.26	0.21	2.64
0.77	0.63	3.04
0.40	0.40	1.61
0.94	0.87	1.79
0.70	0.60	1.61
0.80	0.61	2.20
0.85	0.67	2.56
0.64	0.52	1.95
0.63	0.53	2.40
