Spearman	Kendall	MutualInformation
0.26	0.17	2.77
-0.14	-0.05	1.95
0.67	0.55	2.77
0.31	0.15	2.48
0.28	0.11	2.30
-0.70	-0.60	1.61
-0.11	-0.08	2.56
-0.41	-0.27	3.26
-0.77	-0.60	1.79
0.03	0.00	3.00
0.27	0.19	3.30
0.14	0.09	3.37
0.39	0.28	3.26
-0.36	-0.24	1.95
-0.10	0.00	1.61
0.28	0.19	3.00
-0.36	-0.22	2.77
0.42	0.32	3.22
-0.06	-0.03	3.43
-0.34	-0.25	3.22
-0.14	-0.08	2.89
-0.37	-0.26	3.18
0.18	0.14	3.09
-0.15	-0.03	2.64
0.32	0.20	3.18
-0.03	-0.11	2.20
0.16	0.06	2.48
0.18	0.13	2.56
0.26	0.20	1.79
0.36	0.25	3.04
0.03	0.02	2.30
0.40	0.40	1.61
0.31	0.21	3.64
-0.80	-0.67	1.39
0.50	0.33	1.10
-1.00	-1.00	0.69
0.48	0.30	3.33
-0.50	-0.33	1.10
-0.12	-0.10	3.04
-0.01	0.00	3.30
-0.52	-0.33	2.71
0.11	0.07	2.77
-0.33	-0.42	2.30
0.47	0.36	2.48
-0.12	-0.07	3.22
0.23	0.11	3.30
0.39	0.27	3.14
0.40	0.29	3.22
0.25	0.20	2.40
-0.36	-0.28	2.83
0.78	0.55	2.48
-0.07	-0.06	2.20
0.38	0.25	2.94
-0.02	-0.03	2.77
0.12	0.10	3.14
0.34	0.21	3.00
-0.02	0.01	3.18
0.55	0.42	2.40
0.22	0.17	2.20
0.11	0.05	2.77
0.77	0.60	1.79
-0.15	-0.08	2.89
0.67	0.49	2.94
-0.02	-0.06	2.20
0.07	0.01	2.71
0.52	0.40	3.04
-0.11	-0.14	1.95
0.27	0.16	2.71
0.07	0.07	3.04
-0.09	-0.08	2.77
0.42	0.27	2.48
-0.22	-0.14	2.64
0.10	0.07	3.40
0.18	0.12	2.77
-0.35	-0.28	3.14
0.12	0.09	3.18
-0.46	-0.43	1.95
0.49	0.33	3.56
0.22	0.18	2.83
0.03	0.07	1.79
-0.07	-0.09	2.40
-0.29	-0.23	2.56
-0.20	-0.20	1.79
0.40	0.26	3.00
0.23	0.16	2.94
0.18	0.13	2.56
-0.03	-0.02	3.22
0.32	0.21	2.83
0.32	0.21	3.52
0.22	0.15	2.83
0.10	0.05	3.00
-0.29	-0.21	2.56
0.48	0.38	2.40
0.61	0.41	3.09
-0.83	-0.73	1.79
0.72	0.49	2.64
-0.19	-0.15	3.00
0.48	0.35	2.89
-0.20	-0.10	2.56
0.17	0.09	3.26
0.24	0.19	2.64
0.58	0.38	2.30
0.11	0.11	3.37
-0.11	-0.07	2.71
-0.05	-0.08	2.64
-0.02	0.00	3.09
-0.01	0.03	2.48
1.00	1.00	0.69
0.39	0.27	3.09
0.07	0.05	3.43
0.11	0.12	3.22
0.08	0.06	2.48
0.11	0.09	2.83
-1.00	-1.00	1.10
0.14	0.11	3.33
-0.04	-0.04	3.00
0.10	0.02	2.30
0.08	0.07	3.04
0.45	0.24	2.30
0.03	0.01	3.37
0.26	0.18	2.83
0.02	0.00	2.20
0.42	0.34	3.14
-0.30	-0.20	1.61
-0.27	-0.13	2.40
-0.22	-0.16	3.40
0.18	0.15	3.09
0.25	0.17	3.04
0.02	0.03	3.18
-0.24	-0.20	2.40
0.01	0.04	3.09
-0.15	-0.10	2.83
0.60	0.47	1.79
-0.05	-0.03	2.89
0.26	0.17	3.64
1.00	1.00	0.69
0.15	0.13	2.83
0.26	0.18	2.71
0.18	0.11	3.18
0.08	0.06	2.89
-0.04	-0.02	2.94
-0.21	-0.17	2.77
0.06	0.03	3.81
