Spearman	Kendall	MutualInformation
-0.28	-0.21	3.33
0.00	0.00	1.39
0.20	0.17	3.18
-0.24	-0.17	2.77
0.20	0.13	3.26
-0.44	-0.34	2.64
-0.05	-0.07	2.30
-0.18	-0.13	2.56
0.49	0.32	3.04
-0.03	-0.01	3.40
-0.04	-0.05	3.87
0.03	0.01	4.13
0.23	0.19	3.09
-0.58	-0.39	2.94
0.12	0.07	3.04
-0.06	-0.03	2.48
0.02	0.01	2.64
-0.17	-0.11	3.33
0.26	0.20	2.89
0.14	0.10	2.83
0.34	0.24	3.58
-0.04	-0.01	2.83
-0.22	-0.13	3.87
-0.71	-0.60	1.79
-0.21	-0.13	3.52
0.10	0.06	3.47
-0.27	-0.17	2.20
-0.02	0.00	2.83
-0.01	-0.02	3.33
0.43	0.33	3.30
0.21	0.15	2.48
0.07	0.04	3.71
-0.04	-0.05	3.50
0.27	0.18	2.48
-0.07	-0.04	3.43
0.31	0.19	3.37
-0.14	-0.09	2.48
-0.10	0.00	2.08
-0.17	-0.16	3.43
-0.36	-0.25	3.47
-0.07	-0.03	2.77
0.28	0.16	3.37
-0.10	-0.08	3.00
0.24	0.16	3.76
0.06	0.07	2.71
0.22	0.17	3.18
-0.11	-0.05	2.40
-0.25	-0.17	2.20
0.03	0.04	3.22
-0.02	-0.02	3.14
-0.23	-0.16	3.95
0.17	0.08	3.00
0.15	0.11	2.89
-0.19	-0.12	2.89
-0.41	-0.31	2.83
0.10	0.06	2.89
0.09	0.07	3.69
0.18	0.13	2.83
0.33	0.22	3.04
-0.13	-0.10	2.71
