Spearman	Kendall	MutualInformation
-0.42	-0.33	3.33
0.00	0.00	1.39
-0.06	-0.07	3.18
-0.11	-0.07	2.77
-0.08	-0.06	3.26
-0.20	-0.21	2.64
-0.55	-0.47	2.30
-0.46	-0.31	2.56
0.16	0.13	3.04
0.05	0.03	3.40
-0.04	-0.01	3.87
0.18	0.12	4.13
-0.14	-0.11	3.09
-0.33	-0.19	2.94
-0.11	-0.08	3.04
-0.73	-0.58	2.48
0.28	0.25	2.64
-0.26	-0.15	3.33
0.22	0.12	2.89
0.10	0.03	2.83
0.28	0.17	3.58
-0.15	-0.07	2.83
-0.11	-0.08	3.87
-0.20	-0.07	1.79
-0.09	-0.05	3.52
0.16	0.10	3.47
-0.30	-0.17	2.20
-0.07	-0.04	2.83
0.00	-0.02	3.33
0.36	0.24	3.30
-0.18	-0.12	2.48
0.09	0.03	3.71
0.33	0.23	3.50
0.15	0.12	2.48
0.04	0.05	3.43
0.09	0.05	3.37
-0.45	-0.33	2.48
-0.33	-0.21	2.08
-0.49	-0.34	3.43
-0.08	-0.04	3.47
0.03	0.05	2.77
0.06	0.05	3.37
-0.09	-0.03	3.00
-0.04	-0.03	3.76
-0.05	-0.07	2.71
0.11	0.08	3.18
0.05	-0.05	2.40
-0.63	-0.50	2.20
0.12	0.07	3.22
0.02	0.00	3.14
-0.10	-0.07	3.95
0.22	0.17	3.00
0.41	0.27	2.89
-0.41	-0.29	2.89
-0.27	-0.22	2.83
-0.33	-0.22	2.89
-0.06	-0.05	3.69
0.15	0.12	2.83
0.41	0.29	3.04
0.16	0.14	2.71
